ProgrNum,PacketType,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Q0,Q1,Q2,Q3,Vbat
0,159,-55,-14379,1385,-90,210,293,452,1985,78,0.71337890625,-0.647216796875,0.181884765625,-0.197509765625,4.158
1,159,-310,-16409,2804,-155,179,641,452,2025,117,0.7012939453125,-0.586669921875,0.26751708984375,-0.30389404296875,4.158
2,159,434,-18061,2848,-8,255,529,452,2025,117,0.70953369140625,-0.61187744140625,0.2183837890625,-0.27264404296875,4.158
3,159,699,-19135,4338,272,541,270,727,1985,393,0.71466064453125,-0.57965087890625,0.231201171875,-0.3157958984375,4.158
4,159,-1230,-19247,2791,262,150,-577,727,1985,393,0.6986083984375,-0.58758544921875,0.2882080078125,-0.2889404296875,4.158
5,159,-751,-18831,3623,699,-757,-935,688,1907,275,0.71527099609375,-0.5809326171875,0.2608642578125,-0.28753662109375,4.158
6,159,-1241,-17515,4904,1126,-965,-773,688,1907,275,0.7188720703125,-0.52581787109375,0.29827880859375,-0.343017578125,4.158
91,159,5000,-14244,-348,1550,-618,-2209,648,1985,353,0.694580078125,-0.66485595703125,0.07794189453125,-0.26318359375,4.158
92,159,4102,-13179,234,1432,-781,-1177,648,1985,353,0.69476318359375,-0.66473388671875,0.07666015625,-0.26348876953125,4.158
93,159,5254,-13824,664,734,-1112,-1234,609,1946,432,0.69451904296875,-0.6649169921875,0.07513427734375,-0.26385498046875,4.158
94,159,6348,-13761,986,784,-826,-968,609,1946,432,0.69439697265625,-0.66497802734375,0.07354736328125,-0.2645263671875,4.158
95,159,5952,-13568,1614,772,-474,-946,609,1867,353,0.69439697265625,-0.664794921875,0.07208251953125,-0.265380859375,4.158
96,159,6254,-13738,1946,723,76,-1014,609,1867,353,0.69439697265625,-0.66448974609375,0.07080078125,-0.26654052734375,4.158
195,159,-999,-18440,2504,-2652,288,1194,648,1946,275,0.69561767578125,-0.65496826171875,0.10076904296875,-0.27703857421875,4.158
196,159,-2366,-16802,4440,-2465,746,1145,648,1946,275,0.695556640625,-0.6551513671875,0.1031494140625,-0.27581787109375,4.158
197,159,-3627,-16718,5181,-2353,1107,1037,570,1907,393,0.69549560546875,-0.65521240234375,0.10577392578125,-0.2747802734375,4.158
198,159,-3696,-16785,5354,-2354,640,1155,570,1907,393,0.69549560546875,-0.6552734375,0.108154296875,-0.2735595703125,4.158
199,159,-1968,-16972,6344,-2248,1068,913,648,1985,393,0.6956787109375,-0.655029296875,0.11041259765625,-0.2728271484375,4.158
200,159,-1551,-16809,7075,-2286,1180,684,648,1985,393,0.69586181640625,-0.6546630859375,0.11248779296875,-0.27239990234375,4.158
201,159,-89,-16357,7099,-2226,1579,189,648,1985,353,0.696044921875,-0.65411376953125,0.11419677734375,-0.2725830078125,4.158
202,159,280,-17120,5680,-1931,1478,165,648,1985,353,0.69622802734375,-0.65362548828125,0.11602783203125,-0.27264404296875,4.158
203,159,2001,-16380,4908,-1724,1829,-445,609,1946,314,0.6961669921875,-0.65313720703125,0.1171875,-0.2734375,4.158
204,159,2365,-16475,3648,-1659,2292,-607,609,1946,314,0.69573974609375,-0.6529541015625,0.11846923828125,-0.27447509765625,4.158
205,159,2053,-16641,1905,-1401,2495,-521,648,1946,353,0.69500732421875,-0.65313720703125,0.11993408203125,-0.27532958984375,4.158
206,159,2136,-16460,613,-1214,2302,-477,648,1946,353,0.694091796875,-0.65350341796875,0.12127685546875,-0.27606201171875,4.158
207,159,2600,-16323,-1135,-1115,2223,-428,570,1946,353,0.6929931640625,-0.65411376953125,0.12249755859375,-0.27685546875,4.158
208,159,2635,-16328,-2651,-1108,2078,-368,570,1946,353,0.69183349609375,-0.65484619140625,0.1236572265625,-0.2774658203125,4.158
209,159,2273,-16113,-4098,-1035,1811,-417,609,1946,432,0.69061279296875,-0.65570068359375,0.124755859375,-0.27801513671875,4.158
210,159,2860,-16542,-5060,-757,1600,-600,609,1946,432,0.689453125,-0.65655517578125,0.12548828125,-0.278564453125,4.158
211,159,3109,-16190,-5260,-560,1273,-685,609,1946,393,0.6883544921875,-0.6573486328125,0.12603759765625,-0.279052734375,4.158
212,159,4906,-16022,-4520,-436,1044,-584,609,1946,393,0.6873779296875,-0.65814208984375,0.12628173828125,-0.2796630859375,4.158
213,159,4079,-15312,-4362,-188,1030,-764,648,2025,393,0.6864013671875,-0.65887451171875,0.12646484375,-0.28021240234375,4.158
214,159,4946,-15544,-4668,-52,831,-865,648,2025,393,0.685546875,-0.6595458984375,0.12640380859375,-0.28082275390625,4.158
215,159,4822,-15431,-3469,311,555,-552,648,1946,471,0.68487548828125,-0.6600341796875,0.126220703125,-0.28125,4.158
216,159,5588,-14459,-2474,377,318,-755,648,1946,471,0.68426513671875,-0.6605224609375,0.12567138671875,-0.2818603515625,4.158
217,159,6173,-14529,-1262,576,-185,-527,609,1946,432,0.68389892578125,-0.660888671875,0.12481689453125,-0.2823486328125,4.158
218,159,6653,-13977,495,849,-957,-467,609,1946,432,0.683837890625,-0.66107177734375,0.12322998046875,-0.28277587890625,4.158
219,159,5723,-13955,680,804,-859,-426,530,1907,432,0.683837890625,-0.66119384765625,0.1219482421875,-0.28314208984375,4.158
220,159,4778,-14990,829,1285,-1459,-496,530,1907,432,0.68414306640625,-0.6611328125,0.1204833984375,-0.2830810546875,4.158
221,159,5023,-14667,2730,1692,-1792,-373,609,1907,432,0.68505859375,-0.66046142578125,0.1185302734375,-0.283203125,4.158
222,159,3879,-14056,3793,1509,-1257,-330,609,1907,432,0.68634033203125,-0.65924072265625,0.11712646484375,-0.28350830078125,4.158
223,159,2979,-14599,3150,1332,-757,-211,491,1907,432,0.68731689453125,-0.6583251953125,0.116455078125,-0.2835693359375,4.158
224,159,2329,-14856,2565,1328,-469,-64,491,1907,432,0.68817138671875,-0.65753173828125,0.1162109375,-0.283447265625,4.158
225,159,1722,-15197,2638,1244,-423,199,491,1907,432,0.6890869140625,-0.65673828125,0.1163330078125,-0.28302001953125,4.158
226,159,1073,-15570,2393,1145,-433,280,491,1907,432,0.68994140625,-0.65606689453125,0.11663818359375,-0.28240966796875,4.158
