ProgrNum,PacketType,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Q0,Q1,Q2,Q3,Vbat
0,159,1761,-16656,226,692,3156,-1775,196,1907,-58,0.7117919921875,-0.6990966796875,-0.06658935546875,-0.00732421875,4.179
1,159,584,-16778,647,689,2901,-1624,157,1985,-137,0.7158203125,-0.685546875,-0.103271484375,0.08245849609375,4.179
2,159,22,-17030,916,804,2524,-1422,157,1985,-137,0.72265625,-0.6846923828125,-0.06549072265625,0.06817626953125,4.179
3,159,-530,-17009,1515,758,1894,-1178,589,1907,-255,0.7344970703125,-0.67364501953125,-0.0423583984375,0.06927490234375,4.179
4,159,-1122,-17309,1087,630,1318,-968,589,1907,-255,0.71807861328125,-0.6806640625,-0.0733642578125,0.1248779296875,4.179
5,159,-1234,-17767,166,623,841,-665,550,1907,-294,0.672607421875,-0.680419921875,-0.1796875,0.22857666015625,4.179
6,159,-587,-17936,-802,643,-238,-580,550,1907,-294,0.6497802734375,-0.6871337890625,-0.22381591796875,0.23541259765625,4.179
91,159,3388,-14507,1673,-692,1087,-1344,550,1907,-255,0.7161865234375,-0.6668701171875,-0.173095703125,0.1102294921875,4.103
92,159,2096,-14452,1165,-692,1662,-1703,550,1907,-255,0.7161865234375,-0.66717529296875,-0.1732177734375,0.10833740234375,4.103
93,159,998,-15092,931,-700,1789,-1833,511,1907,-412,0.71630859375,-0.6673583984375,-0.17303466796875,0.10687255859375,4.103
94,159,198,-15973,1291,-1069,1599,-1656,511,1907,-412,0.7161865234375,-0.667724609375,-0.17254638671875,0.1058349609375,4.103
95,159,-209,-16992,1664,-1277,1277,-1430,511,1867,-334,0.71600341796875,-0.668212890625,-0.171875,0.10516357421875,4.103
96,159,-320,-17831,1132,-1197,664,-1159,511,1867,-334,0.715576171875,-0.6688232421875,-0.1715087890625,0.10479736328125,4.103
195,159,3352,-16197,505,-3725,5133,1429,550,1867,-255,0.70391845703125,-0.68853759765625,-0.15289306640625,0.08251953125,4.103
196,159,2436,-16301,-475,-3740,4990,936,550,1867,-255,0.70257568359375,-0.69073486328125,-0.150634765625,0.08013916015625,4.103
197,159,2428,-17498,-1874,-2980,4819,510,589,1946,-216,0.7012939453125,-0.6927490234375,-0.14862060546875,0.07769775390625,4.103
294,159,2559,-14308,-254,-3793,3730,1724,511,1867,-216,0.705810546875,-0.68585205078125,-0.16217041015625,0.06988525390625,4.103
295,159,1343,-15243,-297,-3996,3704,1895,511,1907,-255,0.7042236328125,-0.688232421875,-0.15966796875,0.06890869140625,4.103
296,159,695,-16096,-1000,-3758,3540,1950,511,1907,-255,0.7025146484375,-0.69061279296875,-0.15704345703125,0.06817626953125,4.103
297,159,1264,-16120,-2017,-3262,3631,2002,511,1907,-216,0.700927734375,-0.69293212890625,-0.15460205078125,0.0672607421875,4.103
322,159,1982,-17846,-536,-2381,-762,3096,511,1907,-294,0.71771240234375,-0.673828125,-0.1583251953125,0.0751953125,4.103
323,159,3985,-17035,-670,-2895,-1312,3893,432,1789,-294,0.7158203125,-0.67572021484375,-0.15789794921875,0.07684326171875,4.103
324,159,5991,-14694,110,-3262,-1966,4321,432,1789,-294,0.71392822265625,-0.67742919921875,-0.15802001953125,0.07843017578125,4.103
325,159,7168,-13112,1034,-3012,-1484,3987,471,1867,-255,0.71246337890625,-0.67877197265625,-0.1583251953125,0.079345703125,4.103
326,159,7762,-12600,1468,-2174,-58,3414,471,1867,-255,0.71160888671875,-0.6796875,-0.15814208984375,0.0794677734375,4.103
327,159,7459,-12639,2217,-1354,767,2442,550,1867,-373,0.71148681640625,-0.679931640625,-0.157958984375,0.07891845703125,4.103
328,159,5823,-13677,3174,-609,2186,1444,550,1867,-373,0.712158203125,-0.67950439453125,-0.1572265625,0.07757568359375,4.103
329,159,3479,-14538,2346,-415,3760,827,550,1907,-334,0.713134765625,-0.67919921875,-0.1556396484375,0.0755615234375,4.103
330,159,1581,-15646,611,-600,5061,805,550,1907,-334,0.71337890625,-0.67974853515625,-0.15289306640625,0.07379150390625,4.103
331,159,-551,-15986,-157,-1307,5578,1310,589,1907,-294,0.71307373046875,-0.68109130859375,-0.14923095703125,0.07244873046875,4.103
332,159,-1855,-16311,-1464,-2708,4976,1449,589,1907,-294,0.7117919921875,-0.68316650390625,-0.145751953125,0.07135009765625,4.103
333,159,-2113,-16753,-2937,-3251,3722,1535,629,1946,-216,0.7100830078125,-0.6856689453125,-0.14300537109375,0.0706787109375,4.103
334,159,-957,-17885,-2888,-3242,1993,1264,629,1946,-216,0.70819091796875,-0.68798828125,-0.14129638671875,0.0704345703125,4.103
335,159,-12,-18268,-1932,-2381,813,470,589,1946,-255,0.70672607421875,-0.68963623046875,-0.14056396484375,0.0704345703125,4.103
336,159,956,-18087,-1543,-851,8,-739,589,1946,-255,0.70599365234375,-0.69036865234375,-0.140869140625,0.07012939453125,4.103
337,159,1752,-17676,-950,1159,-295,-1770,589,1907,-137,0.706298828125,-0.69000244140625,-0.1417236328125,0.06951904296875,4.103
338,159,1964,-17181,-18,2376,-99,-2615,589,1907,-137,0.707275390625,-0.6888427734375,-0.142822265625,0.0684814453125,4.103
339,159,1925,-16920,410,2873,312,-3391,589,1907,-216,0.708740234375,-0.68719482421875,-0.14404296875,0.0670166015625,4.103
340,159,1698,-17267,777,2612,967,-3715,589,1907,-216,0.71026611328125,-0.6856689453125,-0.14495849609375,0.06524658203125,4.103
341,159,1518,-17132,-250,2668,1664,-3676,550,1907,-255,0.7115478515625,-0.684326171875,-0.1456298828125,0.06317138671875,4.103
