ProgrNum,PacketType,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Q0,Q1,Q2,Q3,Vbat
0,159,2256,-16394,707,1059,-906,-363,688,1907,78,0.71392822265625,-0.6917724609375,0.0091552734375,-0.10797119140625,4.172
1,159,2439,-16120,1240,1296,-113,-447,688,1907,78,0.7210693359375,-0.6793212890625,0.02294921875,-0.1341552734375,4.172
2,159,2624,-16061,1815,1170,400,-443,688,1946,314,0.70751953125,-0.658447265625,0.1046142578125,-0.23406982421875,4.172
3,159,3225,-16177,1837,1057,539,-533,688,1946,314,0.70660400390625,-0.66143798828125,0.083984375,-0.236572265625,4.172
4,159,3703,-16412,1715,987,841,-560,727,1907,235,0.71234130859375,-0.6689453125,0.04156494140625,-0.2078857421875,4.172
5,159,3029,-16357,1192,783,1285,-572,727,1907,235,0.708251953125,-0.6795654296875,0.048828125,-0.18450927734375,4.172
6,159,2960,-16616,861,725,1564,-566,727,1907,196,0.707275390625,-0.68817138671875,0.03057861328125,-0.15875244140625,4.172
91,159,2428,-16727,-111,-106,-811,-88,688,2025,196,0.68341064453125,-0.71124267578125,0.0750732421875,-0.145751953125,4.172
92,159,1371,-16195,42,-166,-677,-82,609,1946,235,0.68353271484375,-0.71124267578125,0.0748291015625,-0.1453857421875,4.172
93,159,1147,-16021,569,-264,-563,145,609,1946,235,0.68377685546875,-0.7110595703125,0.07476806640625,-0.1448974609375,4.172
94,159,1474,-15941,597,-362,-615,564,609,1946,235,0.68402099609375,-0.7109375,0.0748291015625,-0.14434814453125,4.172
95,159,1474,-16156,1068,-581,-167,955,609,1946,235,0.684326171875,-0.710693359375,0.07525634765625,-0.14385986328125,4.172
96,159,2112,-16349,1441,-685,537,1042,609,2025,196,0.6846923828125,-0.7103271484375,0.0758056640625,-0.143798828125,4.172
97,159,3142,-16629,1006,-750,1374,457,609,2025,196,0.6846923828125,-0.7100830078125,0.076171875,-0.14471435546875,4.172
194,159,2503,-16064,-1601,-193,566,-691,609,1985,235,0.68475341796875,-0.71063232421875,0.0546875,-0.15130615234375,4.114
195,159,2820,-15796,-2335,-306,746,-534,609,1985,235,0.6842041015625,-0.71112060546875,0.0546875,-0.15185546875,4.114
196,159,2691,-15442,-2348,-458,900,-231,570,1946,314,0.68353271484375,-0.71160888671875,0.05499267578125,-0.15240478515625,4.114
197,159,2912,-15237,-2085,-697,1113,222,570,1946,314,0.68280029296875,-0.712158203125,0.0555419921875,-0.15283203125,4.114
270,159,267,-18058,-1133,1012,1025,-1910,648,1907,235,0.6893310546875,-0.70672607421875,0.05926513671875,-0.14715576171875,4.114
271,159,391,-17767,-794,944,1034,-1731,648,1907,235,0.68951416015625,-0.70635986328125,0.05926513671875,-0.14794921875,4.114
272,159,-144,-16774,-1134,729,1364,-1235,609,1985,196,0.68963623046875,-0.70611572265625,0.0596923828125,-0.14862060546875,4.114
273,159,289,-16377,-1568,329,1614,-838,609,1985,196,0.689453125,-0.7060546875,0.0604248046875,-0.1492919921875,4.114
274,159,1437,-16424,-1552,-6,1638,-569,766,1946,235,0.68914794921875,-0.7061767578125,0.06103515625,-0.1500244140625,4.114
275,159,2326,-16039,-1679,-385,1172,-304,766,1946,235,0.6885986328125,-0.70654296875,0.06134033203125,-0.15057373046875,4.114
276,159,3087,-16445,-2054,-602,486,-238,609,1946,314,0.6878662109375,-0.7071533203125,0.0614013671875,-0.1510009765625,4.114
277,159,3840,-16300,-2505,-711,-182,-255,609,1946,314,0.68707275390625,-0.70794677734375,0.06103515625,-0.15118408203125,4.114
278,159,3797,-16429,-2591,-546,-378,-146,688,2025,275,0.6864013671875,-0.7086181640625,0.060546875,-0.1512451171875,4.114
279,159,3453,-16332,-2453,-348,-173,-12,688,2025,275,0.685791015625,-0.70916748046875,0.060302734375,-0.1512451171875,4.114
280,159,3538,-16338,-2733,-64,-84,-36,648,1946,314,0.685302734375,-0.70965576171875,0.06005859375,-0.1513671875,4.114
281,159,2691,-16170,-2510,57,56,373,648,1946,314,0.6849365234375,-0.71002197265625,0.0601806640625,-0.15118408203125,4.114
282,159,2685,-15474,-1886,-18,274,508,648,1907,235,0.6846923828125,-0.7103271484375,0.0604248046875,-0.151123046875,4.114
283,159,1995,-14900,-1063,-367,57,725,648,1907,235,0.6844482421875,-0.7105712890625,0.060791015625,-0.1507568359375,4.114
284,159,2243,-15186,-1756,-713,-525,741,648,1985,275,0.68389892578125,-0.71124267578125,0.0609130859375,-0.15008544921875,4.114
285,159,2474,-15124,-1333,-886,-816,1106,648,1985,275,0.68341064453125,-0.71185302734375,0.06103515625,-0.14923095703125,4.114
286,159,2465,-15481,-1514,-969,-841,1350,609,2025,235,0.68292236328125,-0.7125244140625,0.061279296875,-0.148193359375,4.114
287,159,2861,-15965,-2071,-901,-722,1371,609,2025,235,0.682373046875,-0.7132568359375,0.0615234375,-0.14727783203125,4.114
288,159,2379,-16334,-1236,-701,-337,1149,648,2025,275,0.6820068359375,-0.71368408203125,0.0618896484375,-0.1466064453125,4.114
289,159,2487,-16614,-1931,-720,-345,814,648,2025,275,0.68145751953125,-0.71429443359375,0.0621337890625,-0.14605712890625,4.114
290,159,1930,-16699,-1770,-552,-173,422,727,1985,235,0.68109130859375,-0.7147216796875,0.06231689453125,-0.14556884765625,4.114
291,159,697,-16643,-1888,-510,-97,265,727,1985,235,0.68072509765625,-0.71514892578125,0.06268310546875,-0.14501953125,4.114
292,159,-949,-16191,-2802,-208,-386,73,727,1907,235,0.680419921875,-0.715576171875,0.0631103515625,-0.14410400390625,4.114
293,159,-708,-15930,-2050,-152,-701,-75,727,1907,235,0.68023681640625,-0.7159423828125,0.06329345703125,-0.14312744140625,4.114
294,159,-596,-15707,-1774,-327,-712,8,648,2025,235,0.6800537109375,-0.71630859375,0.06353759765625,-0.1422119140625,4.114
295,159,285,-15701,-1879,-556,-755,16,648,2025,235,0.6796875,-0.716796875,0.0635986328125,-0.141357421875,4.114
296,159,1660,-15902,-1076,-692,-700,131,727,1985,275,0.67938232421875,-0.71722412109375,0.0634765625,-0.14080810546875,4.114
297,159,2463,-16260,-1516,-960,-1015,137,727,1985,275,0.67877197265625,-0.7178955078125,0.06304931640625,-0.14031982421875,4.114
298,159,3240,-16521,-1343,-1021,-1151,-24,648,1907,235,0.67822265625,-0.71856689453125,0.062255859375,-0.13995361328125,4.114
299,159,3676,-16441,-1503,-1061,-1062,-144,648,1907,235,0.6776123046875,-0.71929931640625,0.0614013671875,-0.1397705078125,4.114
300,159,3181,-16742,-1504,-940,-912,-250,648,1985,235,0.67706298828125,-0.71990966796875,0.0606689453125,-0.1396484375,4.114
301,159,2739,-16071,-856,-683,-609,-321,648,1985,235,0.67669677734375,-0.72027587890625,0.06011962890625,-0.13958740234375,4.114
302,159,2170,-15761,-315,-570,-513,-232,766,1867,235,0.67669677734375,-0.7203369140625,0.05963134765625,-0.13946533203125,4.114
303,159,2345,-15597,-501,-588,-472,-108,766,1867,235,0.67657470703125,-0.72052001953125,0.05926513671875,-0.13934326171875,4.114
304,159,2649,-15740,-304,-656,-339,125,688,1946,275,0.67645263671875,-0.72064208984375,0.0589599609375,-0.13934326171875,4.114
305,159,2769,-15688,470,-881,-274,354,688,1946,275,0.67645263671875,-0.72064208984375,0.05877685546875,-0.13934326171875,4.114
306,159,3443,-16526,87,-1106,-380,457,727,2025,275,0.67620849609375,-0.72088623046875,0.05841064453125,-0.13934326171875,4.114
307,159,3271,-16333,-47,-1246,-470,210,727,2025,275,0.6759033203125,-0.72125244140625,0.05804443359375,-0.13934326171875,4.114
