ProgrNum,PacketType,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Q0,Q1,Q2,Q3,Vbat
0,159,906,-14522,-6521,-408,-896,-526,-511,1907,766,0.07928466796875,-0.0704345703125,-0.83636474609375,0.5377197265625,4.117
1,159,845,-14628,-6799,-366,-866,-514,-511,1907,766,0.09234619140625,-0.0965576171875,-0.83734130859375,0.53009033203125,4.117
2,159,730,-14834,-6956,-381,-862,-456,-786,2103,766,0.093994140625,-0.1068115234375,-0.8370361328125,0.52825927734375,4.117
3,159,723,-14707,-7069,-464,-826,-480,-786,2103,766,0.1007080078125,-0.11907958984375,-0.83795166015625,0.52288818359375,4.117
4,159,785,-14717,-6862,-588,-739,-438,-786,2025,806,0.069091796875,-0.06365966796875,-0.8408203125,0.53302001953125,4.117
5,159,939,-14676,-6963,-665,-649,-383,-786,2025,806,0.0799560546875,-0.07269287109375,-0.841796875,0.52874755859375,4.117
6,159,1164,-14761,-7008,-705,-547,-325,-707,2103,688,0.15399169921875,-0.178955078125,-0.82574462890625,0.51220703125,4.117
7,159,1117,-14769,-6848,-731,-504,-273,-707,2103,688,0.14520263671875,-0.165283203125,-0.82611083984375,0.5186767578125,4.117
8,159,1128,-14737,-6908,-733,-331,-242,-707,2064,648,0.15521240234375,-0.1815185546875,-0.8238525390625,0.51397705078125,4.117
9,159,1081,-14790,-6928,-703,-206,-253,-707,2064,648,0.1524658203125,-0.179931640625,-0.82415771484375,0.51483154296875,4.117
10,159,954,-14735,-6795,-593,-153,-335,-747,2025,766,0.08917236328125,-0.08526611328125,-0.83770751953125,0.53192138671875,4.117
11,159,781,-14729,-6926,-493,-106,-379,-747,2025,766,0.0882568359375,-0.0947265625,-0.8387451171875,0.52880859375,4.117
12,159,718,-14781,-6853,-376,-85,-400,-786,2064,806,0.07122802734375,-0.07080078125,-0.83966064453125,0.53363037109375,4.117
13,159,609,-14771,-6952,-256,-94,-420,-786,2064,806,0.07171630859375,-0.07843017578125,-0.840576171875,0.53106689453125,4.117
14,159,463,-14581,-6916,-137,-135,-424,-786,1985,845,0.0440673828125,-0.04290771484375,-0.843994140625,0.53277587890625,4.117
15,159,384,-14626,-6959,-94,-221,-438,-786,1985,845,0.0423583984375,-0.04498291015625,-0.84423828125,0.5323486328125,4.117
16,159,486,-14642,-7155,1,-329,-400,-825,2064,766,0.0860595703125,-0.10992431640625,-0.84100341796875,0.52264404296875,4.117
17,159,756,-14636,-7221,-22,-365,-347,-825,2064,766,0.0989990234375,-0.1158447265625,-0.84112548828125,0.518798828125,4.117
18,159,959,-14812,-7122,-118,-321,-285,-747,2025,766,0.10186767578125,-0.1077880859375,-0.83941650390625,0.52276611328125,4.117
19,159,1269,-14902,-7431,-208,-233,-169,-747,2025,766,0.12542724609375,-0.131591796875,-0.8397216796875,0.5115966796875,4.117
20,159,1348,-14745,-7265,-200,-96,-91,-786,2025,806,0.12542724609375,-0.131591796875,-0.8397216796875,0.5115966796875,4.117
21,159,1395,-14568,-7211,-96,-3,6,-786,2025,806,0.12542724609375,-0.131591796875,-0.8397216796875,0.51153564453125,4.117
22,159,1252,-14445,-6963,10,67,134,-747,2025,845,0.12542724609375,-0.13165283203125,-0.8397216796875,0.51153564453125,4.117
23,159,1214,-14322,-7059,80,142,284,-747,2025,845,0.12542724609375,-0.13177490234375,-0.83966064453125,0.51153564453125,4.117
24,159,947,-14361,-6977,134,156,359,-825,2064,806,0.1253662109375,-0.132080078125,-0.839599609375,0.51165771484375,4.117
25,159,854,-14385,-6793,183,182,392,-825,2064,806,0.125244140625,-0.13232421875,-0.8394775390625,0.51177978515625,4.117
26,159,685,-14505,-6655,141,232,464,-786,1985,688,0.1251220703125,-0.13275146484375,-0.8392333984375,0.51202392578125,4.117
