ProgrNum,PacketType,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Q0,Q1,Q2,Q3,Vbat
0,159,7316,451,14489,-156,-954,-49,-1042,-1002,-1415,0.58099365234375,0.1942138671875,-0.1268310546875,0.78009033203125,4.132
1,159,7393,187,14319,-98,-1033,-120,-1042,-1002,-1415,0.5877685546875,0.1915283203125,-0.13800048828125,0.77374267578125,4.132
2,159,7637,-80,14374,-11,-1080,-110,-1435,-727,-1258,0.38946533203125,0.22039794921875,-0.099365234375,0.88873291015625,4.132
3,159,7917,-284,14516,87,-1108,-66,-1435,-727,-1258,0.40032958984375,0.22125244140625,-0.110107421875,0.88232421875,4.132
4,159,8167,-48,14675,168,-1002,-91,-1474,-766,-1258,0.3992919921875,0.22821044921875,-0.10498046875,0.8817138671875,4.132
5,159,8469,216,14391,219,-824,-122,-1474,-766,-1258,0.40606689453125,0.2412109375,-0.1044921875,0.87518310546875,4.132
6,159,8510,421,14035,228,-713,-160,-1395,-688,-1218,0.40130615234375,0.25018310546875,-0.10003662109375,0.8753662109375,4.132
7,159,8500,527,13907,288,-558,-247,-1395,-688,-1218,0.4002685546875,0.253173828125,-0.0972900390625,0.87530517578125,4.132
92,159,10343,96,13779,19,-809,-302,-1592,-727,-1218,0.2698974609375,0.26104736328125,-0.03485107421875,0.92608642578125,4.071
93,159,10495,-410,13586,81,-628,-464,-1592,-727,-1218,0.27008056640625,0.26190185546875,-0.035400390625,0.92578125,4.071
94,159,10328,-629,13419,223,-490,-454,-1553,-727,-1140,0.27020263671875,0.2626953125,-0.03594970703125,0.92547607421875,4.071
95,159,10235,-708,13603,373,-338,-380,-1553,-727,-1140,0.270263671875,0.2633056640625,-0.03631591796875,0.92523193359375,4.071
96,159,10870,-459,13814,501,-68,-418,-1592,-648,-1140,0.27032470703125,0.26397705078125,-0.03662109375,0.925048828125,4.071
97,159,11450,-107,13590,553,319,-417,-1592,-648,-1140,0.27032470703125,0.2645263671875,-0.03668212890625,0.92486572265625,4.071
194,159,4898,2791,15445,-1390,-97,662,-1474,-688,-1179,0.27978515625,0.22735595703125,-0.03131103515625,0.93212890625,4.071
195,159,5267,2251,15289,-1438,-334,741,-1474,-688,-1179,0.27972412109375,0.22662353515625,-0.03167724609375,0.93231201171875,4.071
196,159,5950,1681,14952,-1633,-606,774,-1435,-688,-1258,0.2796630859375,0.2261962890625,-0.03240966796875,0.93243408203125,4.071
197,159,6224,732,14801,-1808,-935,872,-1435,-688,-1258,0.27947998046875,0.22589111328125,-0.03375244140625,0.9324951171875,4.071
258,159,8800,4518,14157,-2083,-861,801,-1513,-491,-1258,0.2767333984375,0.22509765625,-0.08221435546875,0.93048095703125,4.071
259,159,8622,3503,13875,-2558,-672,991,-1513,-491,-1258,0.2767333984375,0.2257080078125,-0.0830078125,0.93023681640625,4.071
260,159,8574,2613,14002,-3153,-570,1195,-1474,-530,-1218,0.2767333984375,0.22601318359375,-0.08428955078125,0.9300537109375,4.071
261,159,8099,2037,14091,-3683,-549,1403,-1474,-530,-1218,0.276611328125,0.22607421875,-0.0859375,0.929931640625,4.071
262,159,8059,836,14192,-4616,-775,1756,-1553,-530,-1218,0.2763671875,0.2259521484375,-0.088623046875,0.9298095703125,4.071
263,159,8548,690,14172,-5330,-911,2227,-1553,-530,-1218,0.27587890625,0.22589111328125,-0.0919189453125,0.92962646484375,4.071
264,159,8762,-2299,13034,-5619,-681,2391,-1513,-491,-1258,0.275146484375,0.2254638671875,-0.09637451171875,0.92950439453125,4.071
265,159,8764,-1986,12821,-4423,-118,1806,-1513,-491,-1258,0.27471923828125,0.22503662109375,-0.09979248046875,0.92938232421875,4.071
266,159,8625,-3978,12124,-3642,422,1275,-1513,-452,-1258,0.27435302734375,0.22430419921875,-0.10308837890625,0.92926025390625,4.071
267,159,7274,-4240,13983,-2819,395,809,-1513,-452,-1258,0.27410888671875,0.2230224609375,-0.10577392578125,0.9293212890625,4.071
268,159,8007,-6300,13561,-2362,768,328,-1513,-412,-1258,0.2740478515625,0.22186279296875,-0.1083984375,0.9293212890625,4.071
269,159,7968,-8729,13468,-1665,742,226,-1513,-412,-1258,0.27386474609375,0.220703125,-0.11077880859375,0.9293212890625,4.071
270,159,7413,-8909,13627,-626,671,175,-1631,-334,-1297,0.2735595703125,0.21978759765625,-0.11248779296875,0.929443359375,4.071
271,159,7504,-9957,13777,150,518,90,-1631,-334,-1297,0.27313232421875,0.21905517578125,-0.11383056640625,0.9295654296875,4.071
272,159,8169,-9132,14540,822,348,-112,-1435,-491,-1336,0.27288818359375,0.21844482421875,-0.11468505859375,0.9296875,4.071
273,159,7932,-8533,14450,1377,235,-435,-1435,-491,-1336,0.27276611328125,0.218017578125,-0.1151123046875,0.92974853515625,4.071
274,159,8175,-8046,14504,2069,240,-911,-1474,-373,-1297,0.27276611328125,0.2178955078125,-0.1151123046875,0.9298095703125,4.071
275,159,7623,-4838,14549,2385,-20,-1118,-1474,-373,-1297,0.27294921875,0.21795654296875,-0.114501953125,0.92987060546875,4.071
276,159,7693,-5093,14093,2598,-306,-1082,-1553,-373,-1218,0.27301025390625,0.2183837890625,-0.11383056640625,0.9298095703125,4.071
277,159,8361,-2939,14770,2925,-448,-1150,-1553,-373,-1218,0.27313232421875,0.21929931640625,-0.11248779296875,0.92974853515625,4.071
278,159,8430,-1215,15059,3052,-348,-1131,-1592,-452,-1297,0.2734375,0.22027587890625,-0.11041259765625,0.9296875,4.071
279,159,8279,25,14769,2908,-231,-1189,-1592,-452,-1297,0.27392578125,0.22125244140625,-0.1080322265625,0.92962646484375,4.071
280,159,8204,1885,14776,2443,-214,-1113,-1474,-491,-1297,0.27459716796875,0.2222900390625,-0.10528564453125,0.929443359375,4.071
281,159,8126,2605,15034,1817,-298,-940,-1474,-491,-1297,0.2752685546875,0.2232666015625,-0.10284423828125,0.92926025390625,4.071
282,159,7989,4249,15075,1277,-340,-705,-1474,-491,-1297,0.27587890625,0.22412109375,-0.1005859375,0.92913818359375,4.071
283,159,7592,5096,14770,507,-428,-256,-1474,-491,-1297,0.2763671875,0.224853515625,-0.09881591796875,0.92901611328125,4.071
284,159,7249,5256,14323,-211,-483,126,-1553,-491,-1218,0.27667236328125,0.22552490234375,-0.0975341796875,0.92889404296875,4.071
285,159,7298,5880,14429,-1024,-563,551,-1553,-491,-1218,0.27679443359375,0.22601318359375,-0.0968017578125,0.92877197265625,4.071
286,159,7115,4501,14023,-1653,-434,780,-1513,-491,-1297,0.2769775390625,0.226318359375,-0.09649658203125,0.9287109375,4.071
287,159,7675,4846,14389,-2263,-400,942,-1513,-491,-1297,0.277099609375,0.22650146484375,-0.0965576171875,0.9285888671875,4.071
288,159,7781,3379,14045,-3124,-301,1258,-1553,-530,-1218,0.277099609375,0.22650146484375,-0.097412109375,0.92852783203125,4.071
289,159,7695,1759,13807,-3499,-177,1439,-1553,-530,-1218,0.27703857421875,0.22625732421875,-0.098876953125,0.928466796875,4.071
290,159,7706,722,13986,-3900,-184,1615,-1553,-412,-1258,0.2767333984375,0.225830078125,-0.100830078125,0.928466796875,4.071
291,159,7331,-1661,13466,-3763,-206,1663,-1553,-412,-1258,0.2762451171875,0.22509765625,-0.10369873046875,0.928466796875,4.071
292,159,7343,-2661,13732,-3219,-220,1426,-1592,-491,-1297,0.27581787109375,0.22430419921875,-0.10638427734375,0.92852783203125,4.071
293,159,7682,-4106,14249,-3117,-342,1344,-1592,-491,-1297,0.2752685546875,0.22344970703125,-0.109375,0.928466796875,4.071
294,159,8548,-8636,12833,-3722,-335,1129,-1435,-452,-1258,0.27484130859375,0.22265625,-0.11328125,0.92828369140625,4.071
295,159,7922,-6725,13020,-2744,340,693,-1435,-452,-1258,0.27459716796875,0.22161865234375,-0.11627197265625,0.92828369140625,4.071
296,159,7400,-6618,11815,-1936,6,586,-1474,-373,-1179,0.27423095703125,0.220947265625,-0.11883544921875,0.92816162109375,4.071
297,159,8090,-7619,11958,-1668,-568,510,-1474,-373,-1179,0.27386474609375,0.2208251953125,-0.12139892578125,0.927978515625,4.071
298,159,8917,-8167,13832,-582,-332,24,-1553,-412,-1336,0.27362060546875,0.22064208984375,-0.1231689453125,0.9278564453125,4.071
299,159,8753,-7321,14520,533,419,-380,-1553,-412,-1336,0.2735595703125,0.22021484375,-0.1240234375,0.92791748046875,4.071
300,159,8106,-7395,13330,1374,742,-765,-1553,-412,-1258,0.27362060546875,0.21978759765625,-0.12420654296875,0.92791748046875,4.071
301,159,7961,-7178,12784,1657,551,-1020,-1553,-412,-1258,0.2738037109375,0.21954345703125,-0.124267578125,0.927978515625,4.071
302,159,7243,-7421,13331,2008,78,-1066,-1553,-373,-1297,0.27386474609375,0.21942138671875,-0.12420654296875,0.927978515625,4.071
303,159,7183,-6509,14411,2513,-233,-1140,-1553,-373,-1297,0.27392578125,0.219482421875,-0.123779296875,0.927978515625,4.071
304,159,7249,-3932,15012,2675,-317,-1099,-1474,-412,-1297,0.274169921875,0.2196044921875,-0.12261962890625,0.9281005859375,4.071
305,159,7893,-2148,14988,2727,-407,-1196,-1474,-412,-1297,0.27459716796875,0.22021484375,-0.120849609375,0.9281005859375,4.071
306,159,8745,296,14917,2395,-367,-1337,-1553,-334,-1258,0.27520751953125,0.221435546875,-0.11865234375,0.9278564453125,4.071
307,159,9451,1087,14553,1855,-284,-1268,-1553,-334,-1258,0.27581787109375,0.2227783203125,-0.11669921875,0.9276123046875,4.071
308,159,9303,2671,14595,1468,-195,-1027,-1553,-412,-1258,0.27655029296875,0.22393798828125,-0.1146240234375,0.9273681640625,4.071
309,159,9626,3943,14467,883,-124,-486,-1553,-412,-1258,0.27703857421875,0.2249755859375,-0.11285400390625,0.92718505859375,4.071
310,159,9310,4392,14618,518,90,-146,-1513,-412,-1297,0.27740478515625,0.2257080078125,-0.1112060546875,0.92706298828125,4.071
311,159,9278,5261,14922,-68,265,142,-1513,-412,-1297,0.27777099609375,0.22625732421875,-0.10986328125,0.927001953125,4.071
312,159,8984,4984,14788,-891,417,421,-1553,-491,-1297,0.278076171875,0.2264404296875,-0.10894775390625,0.92694091796875,4.071
313,159,8492,3987,14657,-1699,597,688,-1553,-491,-1297,0.2783203125,0.22625732421875,-0.108642578125,0.927001953125,4.071
314,159,7710,3450,14932,-2638,523,1062,-1513,-412,-1218,0.2784423828125,0.2257080078125,-0.10888671875,0.92706298828125,4.071
315,159,7310,2191,14886,-3766,247,1716,-1513,-412,-1218,0.27825927734375,0.22491455078125,-0.11016845703125,0.92718505859375,4.071
316,159,6980,1809,15024,-4493,-84,2411,-1435,-491,-1297,0.27789306640625,0.22393798828125,-0.11187744140625,0.92730712890625,4.071
317,159,7252,2738,15408,-5700,-500,3215,-1435,-491,-1297,0.2772216796875,0.2230224609375,-0.1143798828125,0.92742919921875,4.071
318,159,6868,2027,14542,-6882,-909,3903,-1513,-373,-1297,0.27606201171875,0.22216796875,-0.11785888671875,0.92755126953125,4.071
319,159,6779,725,13215,-7541,-1210,4202,-1513,-373,-1297,0.2747802734375,0.22137451171875,-0.1221923828125,0.92755126953125,4.071
320,159,7110,-5509,12510,-6201,-958,2922,-1513,-452,-1297,0.273681640625,0.22015380859375,-0.12762451171875,0.9273681640625,4.071
321,159,7058,-744,13637,-4283,-270,1856,-1513,-452,-1297,0.2734375,0.2193603515625,-0.1298828125,0.92742919921875,4.071
322,159,6027,-4874,12175,-3701,-192,1490,-1592,-334,-1258,0.27276611328125,0.21807861328125,-0.13336181640625,0.9273681640625,4.071
323,159,6351,-6790,13618,-2801,-212,983,-1592,-334,-1258,0.27227783203125,0.2169189453125,-0.1363525390625,0.92730712890625,4.071
324,159,7389,-8239,14048,-2178,-112,884,-1553,-373,-1297,0.27178955078125,0.2159423828125,-0.13909912109375,0.92724609375,4.071
325,159,6794,-10504,12921,-1495,-511,732,-1553,-373,-1297,0.27117919921875,0.21533203125,-0.1416015625,0.92718505859375,4.071
326,159,6881,-10464,13254,-735,-658,443,-1513,-255,-1297,0.2706298828125,0.2149658203125,-0.14361572265625,0.9271240234375,4.071
327,159,8144,-12475,13104,-180,-610,-28,-1513,-255,-1297,0.270263671875,0.21490478515625,-0.1453857421875,0.927001953125,4.071
328,159,9282,-11404,13554,471,-495,-569,-1553,-294,-1258,0.2701416015625,0.215087890625,-0.14654541015625,0.9267578125,4.071
329,159,9230,-10170,13143,995,-316,-921,-1553,-294,-1258,0.27020263671875,0.21539306640625,-0.147216796875,0.92657470703125,4.071
330,159,8789,-10047,12351,1409,-296,-1131,-1553,-334,-1258,0.2703857421875,0.2156982421875,-0.147705078125,0.9263916015625,4.071
331,159,8323,-8153,12147,2328,-525,-1373,-1553,-334,-1258,0.27056884765625,0.2164306640625,-0.14752197265625,0.92620849609375,4.071
332,159,8117,-7337,12187,3041,-573,-1409,-1553,-334,-1258,0.27069091796875,0.21722412109375,-0.14678955078125,0.92608642578125,4.071
333,159,8735,-5659,12860,3819,-454,-1730,-1553,-334,-1258,0.27099609375,0.2183837890625,-0.14532470703125,0.926025390625,4.071
334,159,9653,-3985,14040,4207,-24,-2039,-1592,-255,-1258,0.27154541015625,0.21966552734375,-0.14306640625,0.9259033203125,4.071
335,159,9607,-2416,14514,4574,612,-2458,-1592,-255,-1258,0.2724609375,0.22076416015625,-0.13995361328125,0.9259033203125,4.071
336,159,9533,-1307,14507,4302,784,-2490,-1631,-334,-1218,0.27349853515625,0.22174072265625,-0.13665771484375,0.92584228515625,4.071
337,159,9532,-880,14985,3991,694,-2353,-1631,-334,-1218,0.27447509765625,0.22271728515625,-0.13348388671875,0.92578125,4.071
338,159,9702,796,15604,3270,517,-1768,-1592,-334,-1297,0.275390625,0.2237548828125,-0.13031005859375,0.9256591796875,4.071
339,159,8755,2134,15058,2944,353,-1368,-1592,-334,-1297,0.276123046875,0.22467041015625,-0.12713623046875,0.9256591796875,4.071
340,159,8727,4344,15372,2015,235,-776,-1631,-412,-1297,0.2767333984375,0.2254638671875,-0.12432861328125,0.9256591796875,4.071
341,159,7627,5063,14650,1001,185,-280,-1631,-412,-1297,0.27716064453125,0.22601318359375,-0.1220703125,0.9256591796875,4.071
342,159,7045,6434,14595,-39,-20,170,-1553,-255,-1297,0.2774658203125,0.22637939453125,-0.12042236328125,0.92572021484375,4.071
343,159,6997,5560,14331,-1025,-18,493,-1553,-255,-1297,0.2777099609375,0.2265625,-0.1195068359375,0.92572021484375,4.071
344,159,7358,5427,14635,-1585,185,671,-1513,-452,-1297,0.27801513671875,0.2264404296875,-0.118896484375,0.92572021484375,4.071
345,159,7555,4763,14681,-2267,281,1000,-1513,-452,-1297,0.27825927734375,0.22613525390625,-0.1187744140625,0.92578125,4.071
346,159,8064,3396,14714,-3131,191,1382,-1592,-373,-1258,0.27825927734375,0.225830078125,-0.11944580078125,0.92578125,4.071
347,159,8011,738,14460,-3577,207,1650,-1592,-373,-1258,0.27801513671875,0.2252197265625,-0.1209716796875,0.92584228515625,4.071
348,159,7582,-157,14387,-3958,37,1919,-1553,-373,-1258,0.277587890625,0.22442626953125,-0.12298583984375,0.9259033203125,4.071
349,159,6979,-3162,13537,-3775,-177,2013,-1553,-373,-1258,0.27679443359375,0.2232666015625,-0.1260986328125,0.92596435546875,4.071
350,159,6901,-4569,13851,-2926,-111,1594,-1592,-412,-1258,0.27606201171875,0.2220458984375,-0.12890625,0.92608642578125,4.071
351,159,6606,-5696,13731,-2702,-211,1322,-1592,-412,-1258,0.27545166015625,0.22088623046875,-0.1317138671875,0.9261474609375,4.071
352,159,6195,-6908,13561,-2560,-467,1079,-1592,-373,-1297,0.27484130859375,0.21978759765625,-0.1346435546875,0.9261474609375,4.071
353,159,6525,-8502,12949,-2085,-515,741,-1592,-373,-1297,0.27435302734375,0.218994140625,-0.137451171875,0.92608642578125,4.071
354,159,6880,-9295,12724,-1303,-466,307,-1513,-294,-1336,0.27392578125,0.21844482421875,-0.1397705078125,0.92596435546875,4.071
355,159,7751,-10396,12134,-291,-495,-223,-1513,-294,-1336,0.27374267578125,0.21832275390625,-0.1414794921875,0.92578125,4.071
356,159,8908,-11970,11883,1340,-228,-1050,-1553,-255,-1258,0.2738037109375,0.2186279296875,-0.14208984375,0.92559814453125,4.071
357,159,9403,-10873,12418,2583,34,-1625,-1553,-255,-1258,0.2740478515625,0.21905517578125,-0.1417236328125,0.92547607421875,4.071
