ProgrNum,PacketType,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Q0,Q1,Q2,Q3,Vbat
0,159,-2895,-15686,5617,797,-791,-1191,-688,1907,-98,0.25213623046875,-0.0758056640625,0.57281494140625,-0.77618408203125,4.1
1,159,-2601,-16282,6405,534,-1044,-1391,-688,1907,-98,0.27142333984375,-0.09930419921875,0.555908203125,-0.779296875,4.1
2,159,-2323,-16577,6636,-201,-1051,-1472,-766,1789,-334,0.177001953125,-0.04290771484375,0.56024169921875,-0.8079833984375,4.1
3,159,-2054,-16917,6060,-638,-1336,-1542,-766,1789,-334,0.1505126953125,-0.037109375,0.57537841796875,-0.80303955078125,4.1
4,159,-1798,-17460,6258,-786,-1562,-1277,-688,1789,-294,0.1749267578125,-0.0650634765625,0.57257080078125,-0.79827880859375,4.1
5,159,-1290,-17970,6127,-1114,-1579,-1270,-688,1789,-294,0.16241455078125,-0.07513427734375,0.57733154296875,-0.79656982421875,4.1
6,159,-485,-18312,5494,-976,-1452,-960,-806,1749,-294,0.10888671875,-0.0653076171875,0.59332275390625,-0.7947998046875,4.1
7,159,-660,-18382,5523,-65,-1043,-215,-806,1749,-294,0.11016845703125,-0.0606689453125,0.59368896484375,-0.79473876953125,4.1
8,159,-1494,-18172,6166,554,-663,174,-766,1828,-294,0.15484619140625,-0.06378173828125,0.57940673828125,-0.797607421875,4.1
9,159,-2018,-17750,6261,604,-642,207,-766,1828,-294,0.1651611328125,-0.0523681640625,0.5760498046875,-0.79876708984375,4.1
10,159,-1941,-17204,6579,735,-955,171,-727,1789,-294,0.1846923828125,-0.06451416015625,0.5640869140625,-0.80218505859375,4.1
11,159,-1413,-16808,7186,800,-1185,124,-727,1789,-294,0.212890625,-0.09552001953125,0.54302978515625,-0.80657958984375,4.1
12,159,-808,-16332,7550,373,-898,209,-727,1828,-334,0.228759765625,-0.12054443359375,0.52520751953125,-0.8106689453125,4.1
13,159,-1029,-15921,7123,-174,-276,611,-727,1828,-334,0.21807861328125,-0.10723876953125,0.53350830078125,-0.81005859375,4.1
14,159,-1943,-15532,6379,-614,-81,789,-727,1789,-334,0.1881103515625,-0.0579833984375,0.55487060546875,-0.8082275390625,4.1
15,159,-2263,-15313,5442,-623,-628,620,-727,1789,-334,0.1553955078125,-0.02587890625,0.57745361328125,-0.801025390625,4.1
16,159,-1975,-15190,5260,13,-1497,564,-727,1828,-373,0.1378173828125,-0.02374267578125,0.58050537109375,-0.80206298828125,4.1
17,159,-1645,-14814,5528,818,-1909,757,-727,1828,-373,0.1544189453125,-0.0447998046875,0.56927490234375,-0.80621337890625,4.1
18,159,-1494,-14001,5694,1568,-2075,905,-766,1749,-216,0.21490478515625,-0.0867919921875,0.55224609375,-0.80078125,4.1
19,159,-1297,-13198,6026,1936,-2153,895,-766,1749,-216,0.24163818359375,-0.1041259765625,0.53131103515625,-0.80523681640625,4.1
20,159,-1339,-12496,5837,1596,-2005,1047,-727,1789,-294,0.24163818359375,-0.1041259765625,0.53131103515625,-0.80523681640625,4.1
21,159,-1859,-11965,5551,1379,-2169,1083,-727,1789,-294,0.2431640625,-0.10443115234375,0.5302734375,-0.80535888671875,4.1
22,159,-1792,-11982,5876,1225,-2093,711,-766,1789,-294,0.24444580078125,-0.10479736328125,0.529296875,-0.8055419921875,4.1
23,159,-1720,-11957,5138,714,-1818,410,-766,1789,-294,0.245361328125,-0.1053466796875,0.52874755859375,-0.8055419921875,4.1
24,159,-2069,-12259,4560,983,-1648,269,-727,1789,-334,0.24615478515625,-0.10577392578125,0.5283203125,-0.8055419921875,4.1
25,159,-2693,-12713,4743,1503,-1835,-8,-727,1789,-334,0.24700927734375,-0.10614013671875,0.527587890625,-0.80572509765625,4.1
26,159,-2886,-13058,4937,1709,-2309,-392,-806,1828,-334,0.24786376953125,-0.1068115234375,0.526611328125,-0.8060302734375,4.1
27,159,-2611,-13117,5184,1684,-2610,-706,-806,1828,-334,0.24859619140625,-0.1077880859375,0.5255126953125,-0.806396484375,4.1
28,159,-2086,-13562,5306,1340,-2708,-980,-766,1789,-334,0.24908447265625,-0.109130859375,0.5245361328125,-0.806640625,4.1
29,159,-1661,-14149,5153,747,-2603,-943,-766,1789,-334,0.24945068359375,-0.1107177734375,0.52398681640625,-0.80670166015625,4.1
30,159,-1347,-14743,4673,620,-2632,-694,-806,1789,-255,0.2498779296875,-0.1123046875,0.52362060546875,-0.80657958984375,4.1
31,159,-1107,-15011,4774,1035,-2465,-471,-806,1789,-255,0.25042724609375,-0.11370849609375,0.52301025390625,-0.80657958984375,4.1
32,159,-908,-15312,4829,1255,-1852,-288,-806,1710,-334,0.250732421875,-0.11474609375,0.52239990234375,-0.8067626953125,4.1
33,159,-1048,-15534,4855,863,-1194,8,-806,1710,-334,0.2509765625,-0.1153564453125,0.52215576171875,-0.8067626953125,4.1
34,159,-1321,-15853,4720,636,-845,274,-766,1749,-294,0.2513427734375,-0.11572265625,0.52215576171875,-0.80657958984375,4.1
35,159,-1838,-16462,5454,561,-362,390,-766,1749,-294,0.2515869140625,-0.11566162109375,0.522216796875,-0.80645751953125,4.1
36,159,-1988,-16835,5576,259,155,341,-884,1867,-255,0.251708984375,-0.11541748046875,0.52252197265625,-0.8062744140625,4.1
37,159,-1759,-17215,5594,-127,387,221,-884,1867,-255,0.2515869140625,-0.11517333984375,0.5230712890625,-0.80596923828125,4.1
38,159,-1614,-17607,6090,-632,697,332,-845,1789,-255,0.2513427734375,-0.1148681640625,0.52392578125,-0.80560302734375,4.1
39,159,-1960,-18114,6004,-1053,956,607,-845,1789,-255,0.25115966796875,-0.1143798828125,0.5250244140625,-0.80499267578125,4.1
40,159,-1991,-18185,5581,-1456,963,663,-806,1828,-294,0.2509765625,-0.1138916015625,0.52642822265625,-0.80419921875,4.1
41,159,-1423,-18013,5079,-1401,504,518,-806,1828,-294,0.25079345703125,-0.11383056640625,0.5277099609375,-0.80340576171875,4.1
42,159,-600,-18138,5383,-1047,241,774,-806,1789,-373,0.250732421875,-0.1138916015625,0.52874755859375,-0.802734375,4.1
43,159,-331,-17817,5962,-832,603,1261,-806,1789,-373,0.25079345703125,-0.11358642578125,0.529541015625,-0.80224609375,4.1
44,159,-152,-17139,5965,-666,1252,1666,-727,1749,-334,0.2508544921875,-0.11285400390625,0.53045654296875,-0.8017578125,4.1
