ProgrNum,PacketType,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Q0,Q1,Q2,Q3,Vbat
0,159,5809,1115,15718,-926,-228,179,-1553,-530,-1179,0.1922607421875,0.178955078125,-0.001220703125,0.96484375,4.117
1,159,5970,1244,15612,-1085,119,162,-1553,-570,-1218,0.207275390625,0.18511962890625,-0.00128173828125,0.9605712890625,4.117
2,159,6162,777,15371,-1165,456,103,-1553,-570,-1218,0.22802734375,0.18963623046875,-0.020751953125,0.9547119140625,4.117
3,159,6465,574,15058,-1187,762,57,-1199,-216,-1336,0.13330078125,0.2017822265625,-0.0096435546875,0.97021484375,4.117
4,159,6354,299,14859,-1182,1022,96,-1199,-216,-1336,0.1529541015625,0.19964599609375,-0.02197265625,0.96759033203125,4.117
5,159,5930,-82,15113,-1177,1101,124,-1120,-373,-1415,0.30316162109375,0.17596435546875,-0.05975341796875,0.9345703125,4.117
6,159,5266,-292,15245,-1053,1274,178,-1120,-373,-1415,0.28778076171875,0.1556396484375,-0.05706787109375,0.94317626953125,4.117
7,159,4705,-851,15525,-790,1497,139,-1199,-255,-1415,0.21063232421875,0.13739013671875,-0.05706787109375,0.96612548828125,4.117
92,159,6671,9185,14291,1472,-1339,888,-1317,-294,-1297,0.2061767578125,0.07012939453125,-0.05145263671875,0.9744873046875,4.117
93,159,6986,10748,14503,371,-839,809,-1395,-334,-1336,0.2056884765625,0.0716552734375,-0.0499267578125,0.97454833984375,4.117
94,159,6639,10672,14512,-1037,-292,809,-1395,-334,-1336,0.205322265625,0.0726318359375,-0.04925537109375,0.974609375,4.117
95,159,6980,11309,16107,-2552,-39,802,-1356,-255,-1376,0.20501708984375,0.0732421875,-0.04949951171875,0.974609375,4.117
96,159,6328,10344,15675,-4334,245,1154,-1356,-255,-1376,0.20452880859375,0.0733642578125,-0.05078125,0.974609375,4.117
194,159,3256,9948,14668,-6952,889,2139,-1435,-412,-1258,0.20294189453125,0.14422607421875,-0.0347900390625,0.96771240234375,4.043
195,159,3727,9613,14558,-8609,801,2649,-1435,-334,-1258,0.2022705078125,0.14276123046875,-0.03863525390625,0.96795654296875,4.043
196,159,5309,9092,15035,-11071,756,3537,-1435,-334,-1258,0.2012939453125,0.1412353515625,-0.04425048828125,0.96820068359375,4.043
197,159,4699,4122,11871,-11323,270,2752,-1513,-334,-1140,0.20068359375,0.14013671875,-0.05035400390625,0.96820068359375,4.043
258,159,4497,-422,16428,-1437,1106,281,-1592,-294,-1179,0.20123291015625,0.18994140625,-0.05157470703125,0.95947265625,4.043
259,159,3636,-1379,15891,-1570,532,521,-1513,-334,-1179,0.20098876953125,0.18829345703125,-0.052734375,0.95977783203125,4.043
260,159,4132,-2752,15792,-1662,-69,647,-1513,-334,-1179,0.20062255859375,0.1871337890625,-0.0545654296875,0.9599609375,4.043
261,159,4697,-2275,16081,-1595,-622,665,-1592,-294,-1140,0.2001953125,0.18658447265625,-0.0562744140625,0.9600830078125,4.043
262,159,5782,-2698,16097,-1112,-862,433,-1592,-294,-1140,0.1998291015625,0.18658447265625,-0.05780029296875,0.9600830078125,4.043
263,159,6660,-3323,15599,-402,-917,-11,-1631,-216,-1179,0.1995849609375,0.18701171875,-0.05908203125,0.9599609375,4.043
264,159,7608,-4185,15770,388,-820,-528,-1631,-216,-1179,0.19952392578125,0.18768310546875,-0.0599365234375,0.95977783203125,4.043
265,159,7951,-4480,15367,1169,-651,-990,-1592,-294,-1179,0.19970703125,0.18841552734375,-0.06024169921875,0.9595947265625,4.043
266,159,7736,-5298,15188,1743,-707,-1187,-1592,-294,-1179,0.199951171875,0.189208984375,-0.06024169921875,0.9593505859375,4.043
267,159,7421,-5451,15105,2451,-811,-1341,-1553,-255,-1140,0.2001953125,0.19012451171875,-0.0599365234375,0.95916748046875,4.043
268,159,7192,-5267,14903,3341,-634,-1507,-1553,-255,-1140,0.20037841796875,0.19097900390625,-0.0589599609375,0.95904541015625,4.043
269,159,7308,-4996,14773,4209,-354,-1793,-1631,-294,-1061,0.20068359375,0.1917724609375,-0.05731201171875,0.95892333984375,4.043
270,159,7883,-3662,14502,4866,-106,-1956,-1631,-294,-1061,0.2010498046875,0.19281005859375,-0.05499267578125,0.958740234375,4.043
271,159,8879,-3317,13788,5352,97,-2107,-1553,-334,-1101,0.20147705078125,0.194091796875,-0.05230712890625,0.95855712890625,4.043
272,159,9827,-2653,13149,5711,391,-2288,-1553,-334,-1101,0.2020263671875,0.1954345703125,-0.04913330078125,0.95831298828125,4.043
273,159,9936,-1142,12762,5823,641,-2208,-1592,-334,-1140,0.20257568359375,0.19683837890625,-0.045654296875,0.9581298828125,4.043
274,159,9685,40,12800,5793,738,-1938,-1592,-334,-1140,0.2030029296875,0.19818115234375,-0.04193115234375,0.95794677734375,4.043
275,159,9463,1130,13482,5771,932,-1840,-1592,-334,-1140,0.20330810546875,0.1993408203125,-0.03790283203125,0.957763671875,4.043
276,159,9164,3136,14091,5538,1191,-1691,-1592,-334,-1140,0.2037353515625,0.20025634765625,-0.03363037109375,0.9576416015625,4.043
277,159,8635,3990,13848,5059,1494,-1704,-1513,-412,-1061,0.2042236328125,0.20086669921875,-0.029296875,0.95751953125,4.043
278,159,8411,4683,13507,4504,1862,-1730,-1513,-412,-1061,0.20489501953125,0.201171875,-0.02520751953125,0.9573974609375,4.043
279,159,8308,5295,12874,3853,2129,-1447,-1592,-412,-1101,0.2054443359375,0.20123291015625,-0.02142333984375,0.95733642578125,4.043
280,159,7535,5859,12600,3185,2377,-1195,-1592,-412,-1101,0.2059326171875,0.200927734375,-0.01788330078125,0.9573974609375,4.043
281,159,7065,7104,13145,2672,2401,-963,-1553,-452,-1101,0.20635986328125,0.200439453125,-0.0145263671875,0.9573974609375,4.043
282,159,6596,7539,14277,2042,2224,-694,-1553,-452,-1101,0.20672607421875,0.19976806640625,-0.01153564453125,0.95751953125,4.043
283,159,5216,8355,14811,1233,1946,-327,-1553,-452,-1101,0.20703125,0.1988525390625,-0.00897216796875,0.9576416015625,4.043
284,159,4441,7847,15340,189,1610,45,-1553,-452,-1101,0.20721435546875,0.19781494140625,-0.0072021484375,0.95782470703125,4.043
285,159,3616,9818,15334,-979,1248,572,-1474,-491,-1140,0.207275390625,0.19683837890625,-0.00604248046875,0.95806884765625,4.043
286,159,3393,9239,14688,-1868,922,821,-1474,-491,-1140,0.207275390625,0.19586181640625,-0.00555419921875,0.958251953125,4.043
287,159,4446,10631,15013,-2845,615,1089,-1513,-491,-1101,0.20721435546875,0.1951904296875,-0.00579833984375,0.9583740234375,4.043
288,159,5718,10610,15059,-4249,509,1544,-1513,-491,-1101,0.20709228515625,0.194580078125,-0.00701904296875,0.95855712890625,4.043
289,159,6585,9727,14690,-5751,551,1889,-1513,-412,-1179,0.206787109375,0.19390869140625,-0.00927734375,0.958740234375,4.043
290,159,7211,9190,15432,-7003,423,2137,-1513,-412,-1179,0.20654296875,0.1932373046875,-0.012451171875,0.95892333984375,4.043
291,159,6625,7591,13699,-7953,177,2360,-1474,-412,-1101,0.20623779296875,0.19256591796875,-0.016357421875,0.9591064453125,4.043
292,159,5547,4989,14844,-7558,-202,2254,-1474,-412,-1101,0.20587158203125,0.1917724609375,-0.0201416015625,0.95928955078125,4.043
293,159,4129,4208,15928,-7726,-632,2351,-1553,-334,-1179,0.2054443359375,0.190673828125,-0.02423095703125,0.95953369140625,4.043
294,159,3664,1858,16356,-8047,-1057,2609,-1553,-334,-1179,0.2047119140625,0.1893310546875,-0.0291748046875,0.95977783203125,4.043
295,159,4195,997,17141,-8531,-1448,2947,-1513,-334,-1179,0.20379638671875,0.188232421875,-0.03472900390625,0.96002197265625,4.043
296,159,5357,-61,16870,-9153,-1587,3417,-1513,-334,-1179,0.20263671875,0.18743896484375,-0.0411376953125,0.960205078125,4.043
297,159,6505,-1696,14685,-8781,-1617,3212,-1592,-334,-1218,0.201416015625,0.187255859375,-0.0478515625,0.96014404296875,4.043
298,159,7985,-2785,14212,-6979,-1523,2179,-1592,-334,-1218,0.20068359375,0.18768310546875,-0.05352783203125,0.95989990234375,4.043
299,159,8122,-3453,13893,-5124,-1406,1161,-1592,-334,-1140,0.20037841796875,0.188232421875,-0.0579833984375,0.95953369140625,4.043
300,159,8041,-6472,13940,-3845,-1343,581,-1592,-334,-1140,0.2001953125,0.188720703125,-0.0618896484375,0.959228515625,4.043
301,159,7347,-8380,14416,-3056,-1266,390,-1592,-216,-1218,0.199951171875,0.18902587890625,-0.0655517578125,0.95892333984375,4.043
302,159,6430,-10297,14690,-2445,-1167,439,-1592,-216,-1218,0.1995849609375,0.18914794921875,-0.06878662109375,0.958740234375,4.043
303,159,6523,-11160,14895,-1546,-1087,423,-1592,-176,-1101,0.1990966796875,0.1893310546875,-0.071533203125,0.9586181640625,4.043
304,159,6459,-11331,14678,-458,-1063,292,-1592,-176,-1101,0.19854736328125,0.189697265625,-0.073486328125,0.95849609375,4.043
305,159,6950,-10342,14259,582,-1274,38,-1592,-216,-1179,0.1981201171875,0.19036865234375,-0.0748291015625,0.9583740234375,4.043
306,159,7312,-9235,13531,1288,-1635,-93,-1592,-216,-1179,0.1976318359375,0.19146728515625,-0.07574462890625,0.95819091796875,4.043
307,159,7332,-8506,13270,2003,-1876,-377,-1631,-98,-1179,0.1971435546875,0.19293212890625,-0.076171875,0.9580078125,4.043
308,159,7439,-6116,13423,2785,-1883,-644,-1631,-98,-1179,0.19677734375,0.194580078125,-0.075927734375,0.957763671875,4.043
309,159,7670,-4116,13481,3281,-1732,-839,-1631,-216,-1258,0.19659423828125,0.1964111328125,-0.0750732421875,0.95751953125,4.043
310,159,7854,-2409,13589,4025,-1401,-1187,-1631,-216,-1258,0.19659423828125,0.19830322265625,-0.07318115234375,0.95733642578125,4.043
311,159,8530,-257,13976,4399,-949,-1501,-1631,-255,-1179,0.1968994140625,0.20025634765625,-0.07037353515625,0.95709228515625,4.043
312,159,9081,892,13799,4392,-445,-1604,-1631,-255,-1179,0.19732666015625,0.2020263671875,-0.0672607421875,0.95684814453125,4.043
313,159,8976,2115,13998,4026,-127,-1490,-1553,-294,-1140,0.19781494140625,0.2034912109375,-0.06396484375,0.9566650390625,4.043
314,159,8614,3789,14216,3440,-53,-1070,-1553,-294,-1140,0.19818115234375,0.20477294921875,-0.060791015625,0.95648193359375,4.043
315,159,8281,5214,15430,2770,-158,-590,-1631,-255,-1140,0.19830322265625,0.205810546875,-0.05780029296875,0.9564208984375,4.043
316,159,7717,7526,16251,1686,-263,-41,-1631,-255,-1140,0.19830322265625,0.20660400390625,-0.05535888671875,0.95635986328125,4.043
317,159,6844,8434,15338,651,-167,240,-1592,-294,-1101,0.19830322265625,0.2071533203125,-0.053466796875,0.95635986328125,4.043
318,159,6409,10934,14635,-611,47,722,-1592,-294,-1101,0.1982421875,0.20733642578125,-0.05230712890625,0.95635986328125,4.043
319,159,6340,11529,13378,-2438,290,1377,-1592,-216,-1101,0.197998046875,0.20721435546875,-0.0523681640625,0.95648193359375,4.043
320,159,7073,11846,13483,-3912,417,1645,-1592,-216,-1101,0.19775390625,0.2069091796875,-0.0533447265625,0.95654296875,4.043
321,159,8202,11303,13368,-5327,496,1983,-1592,-294,-1101,0.19757080078125,0.20648193359375,-0.05535888671875,0.95654296875,4.043
322,159,8777,9726,14818,-5886,499,1980,-1592,-294,-1101,0.1973876953125,0.20599365234375,-0.0577392578125,0.95660400390625,4.043
323,159,8481,8976,15782,-6984,530,2343,-1592,-255,-1101,0.19708251953125,0.20526123046875,-0.06085205078125,0.95660400390625,4.043
324,159,7293,5839,16089,-7954,357,2811,-1592,-255,-1101,0.19659423828125,0.2042236328125,-0.06475830078125,0.95672607421875,4.043
325,159,5583,4379,16703,-8753,-112,3486,-1553,-216,-1101,0.19573974609375,0.20281982421875,-0.06927490234375,0.9569091796875,4.043
326,159,3698,2464,15722,-9599,-847,3901,-1553,-216,-1101,0.194580078125,0.201171875,-0.07464599609375,0.95703125,4.043
327,159,3496,566,16694,-9395,-1062,3594,-1474,-216,-1179,0.19354248046875,0.19927978515625,-0.08026123046875,0.95721435546875,4.043
328,159,4527,-412,16603,-9478,-1423,3556,-1474,-216,-1179,0.1925048828125,0.19781494140625,-0.08624267578125,0.95721435546875,4.043
329,159,4935,-1219,16043,-9630,-1904,3807,-1592,-98,-1140,0.1910400390625,0.19683837890625,-0.09283447265625,0.95709228515625,4.043
330,159,6503,-2282,15684,-9947,-2321,4446,-1592,-98,-1140,0.189208984375,0.19659423828125,-0.10009765625,0.95672607421875,4.043
331,159,6489,-7758,12307,-9526,-2863,4004,-1592,-58,-1101,0.1873779296875,0.19677734375,-0.10821533203125,0.9560546875,4.043
332,159,7050,-7158,13518,-6628,-2609,2745,-1592,-58,-1101,0.18603515625,0.19732666015625,-0.1142578125,0.95550537109375,4.043
333,159,6680,-9179,12486,-4548,-2326,1556,-1553,-19,-1140,0.18511962890625,0.197998046875,-0.11895751953125,0.9549560546875,4.043
334,159,5857,-11317,12543,-2716,-2458,-46,-1553,-19,-1140,0.1849365234375,0.1988525390625,-0.1224365234375,0.954345703125,4.043
335,159,5342,-12820,13821,-1332,-2363,-930,-1592,19,-1140,0.18511962890625,0.19976806640625,-0.12493896484375,0.95379638671875,4.043
336,159,5324,-15181,14225,-1348,-2843,-1093,-1592,19,-1140,0.18536376953125,0.20098876953125,-0.12750244140625,0.953125,4.043
337,159,6235,-16246,14430,-844,-3007,-1290,-1749,58,-1101,0.18560791015625,0.20245361328125,-0.1297607421875,0.9525146484375,4.043
338,159,8080,-16080,13673,534,-2828,-1340,-1749,58,-1101,0.18572998046875,0.2042236328125,-0.131103515625,0.951904296875,4.043
339,159,8782,-14076,12222,1768,-2674,-1359,-1631,58,-1101,0.18572998046875,0.2061767578125,-0.13165283203125,0.951416015625,4.043
340,159,9014,-12622,10203,3014,-2674,-1593,-1631,58,-1101,0.18572998046875,0.20849609375,-0.13140869140625,0.95098876953125,4.043
341,159,9312,-10073,10065,4274,-2684,-2033,-1631,19,-1022,0.18585205078125,0.211181640625,-0.13018798828125,0.9505615234375,4.043
342,159,8924,-7704,9837,5341,-2566,-2363,-1631,19,-1022,0.18609619140625,0.2139892578125,-0.12811279296875,0.9501953125,4.043
343,159,9007,-5655,11098,6326,-2238,-2534,-1671,19,-1101,0.18634033203125,0.21685791015625,-0.12518310546875,0.94989013671875,4.043
344,159,10167,-4140,12499,6853,-1390,-2808,-1671,19,-1101,0.18682861328125,0.219482421875,-0.12139892578125,0.94970703125,4.043
345,159,10919,-3845,11427,8272,-302,-3741,-1631,-58,-983,0.18780517578125,0.2218017578125,-0.116455078125,0.9495849609375,4.043
346,159,11711,-3783,11533,9713,742,-5007,-1631,-58,-983,0.18939208984375,0.2237548828125,-0.1102294921875,0.9495849609375,4.043
347,159,12001,-3438,11380,10482,1424,-5677,-1710,-19,-1101,0.1912841796875,0.22552490234375,-0.10345458984375,0.94952392578125,4.043
348,159,10390,-2346,12316,10764,1067,-5128,-1710,-19,-1101,0.1927490234375,0.22735595703125,-0.09637451171875,0.9495849609375,4.043
349,159,10204,-3546,14122,9209,792,-4098,-1671,-176,-1101,0.19378662109375,0.228759765625,-0.0906982421875,0.9495849609375,4.043
350,159,10640,-11,16069,7771,864,-2858,-1671,-176,-1101,0.1944580078125,0.22998046875,-0.08514404296875,0.94964599609375,4.043
351,159,10090,3667,16083,6953,1584,-1679,-1631,-176,-1101,0.1947021484375,0.2305908203125,-0.07940673828125,0.94989013671875,4.043
