ProgrNum,PacketType,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Q0,Q1,Q2,Q3,Vbat
0,159,6673,1370,14935,457,-679,-141,-2103,-1159,-943,0.2890625,0.2113037109375,-0.02069091796875,0.93341064453125,4.113
1,159,6631,1358,15055,449,-661,-168,-2143,-1199,-904,0.28973388671875,0.2086181640625,-0.0206298828125,0.933837890625,4.113
2,159,6643,1290,15043,436,-676,-176,-2143,-1199,-904,0.291015625,0.20849609375,-0.0230712890625,0.93341064453125,4.113
3,159,6505,1266,15188,423,-666,-165,-1592,-412,-1297,0.14349365234375,0.20404052734375,0.00921630859375,0.96832275390625,4.113
4,159,6541,1190,15085,444,-677,-162,-1592,-412,-1297,0.14776611328125,0.20599365234375,0.00579833984375,0.96728515625,4.113
5,159,6491,1179,14882,428,-646,-141,-1513,-412,-1258,0.1588134765625,0.20709228515625,0.00341796875,0.96533203125,4.113
6,159,6415,1393,14766,412,-647,-146,-1513,-412,-1258,0.14752197265625,0.20721435546875,0.012939453125,0.96697998046875,4.113
91,159,6894,2271,14974,-575,950,112,-1513,-491,-1218,0.1746826171875,0.21630859375,0.00244140625,0.96044921875,4.113
92,159,6830,2121,14812,-672,943,148,-1513,-491,-1218,0.17474365234375,0.21575927734375,0.00244140625,0.9605712890625,4.113
93,159,6910,2061,14700,-733,900,195,-1671,-452,-1258,0.17474365234375,0.21527099609375,0.00225830078125,0.960693359375,4.113
94,159,6827,1556,14562,-854,840,283,-1671,-452,-1258,0.17462158203125,0.2147216796875,0.0018310546875,0.9608154296875,4.113
95,159,6495,1325,14655,-846,751,288,-1592,-530,-1218,0.17462158203125,0.214111328125,0.00146484375,0.96099853515625,4.113
96,159,6443,1328,15089,-822,702,311,-1592,-530,-1218,0.17462158203125,0.21343994140625,0.00103759765625,0.96112060546875,4.113
194,159,6241,1995,14907,398,-279,-167,-1435,-412,-1218,0.17547607421875,0.20477294921875,0.00128173828125,0.96282958984375,4.113
195,159,6283,1916,14983,356,-324,-152,-1553,-412,-1258,0.175537109375,0.20501708984375,0.001708984375,0.96282958984375,4.113
196,159,6280,1983,14819,281,-380,-134,-1553,-412,-1258,0.175537109375,0.205322265625,0.0020751953125,0.96270751953125,4.113
258,159,6392,3407,14588,-24,-403,-20,-1592,-530,-1140,0.17669677734375,0.22772216796875,0.01654052734375,0.95733642578125,4.113
259,159,6374,3308,14641,-154,-428,29,-1553,-530,-1258,0.17681884765625,0.22784423828125,0.01702880859375,0.957275390625,4.113
260,159,6398,3199,14534,-240,-443,135,-1553,-530,-1258,0.1768798828125,0.22796630859375,0.01739501953125,0.95721435546875,4.113
261,159,6437,3147,14419,-424,-517,197,-1631,-491,-1179,0.1768798828125,0.2281494140625,0.01751708984375,0.9571533203125,4.113
262,159,6631,3094,14513,-599,-596,302,-1631,-491,-1179,0.17681884765625,0.22845458984375,0.0174560546875,0.95709228515625,4.113
263,159,6786,2998,14675,-773,-651,397,-1592,-412,-1179,0.1766357421875,0.228759765625,0.01715087890625,0.95709228515625,4.113
264,159,7187,2644,14773,-899,-689,455,-1592,-412,-1179,0.17645263671875,0.22918701171875,0.0166015625,0.95703125,4.113
265,159,7283,2273,14699,-951,-644,454,-1592,-452,-1218,0.17626953125,0.2296142578125,0.01593017578125,0.95697021484375,4.113
266,159,7436,1819,14665,-927,-618,436,-1592,-452,-1218,0.176025390625,0.23004150390625,0.01513671875,0.9569091796875,4.113
267,159,7629,1390,14674,-962,-579,446,-1592,-373,-1140,0.17572021484375,0.23040771484375,0.01409912109375,0.9569091796875,4.113
268,159,7838,1058,14746,-930,-503,421,-1592,-373,-1140,0.1754150390625,0.2308349609375,0.01300048828125,0.95684814453125,4.113
269,159,7883,558,14574,-788,-426,381,-1631,-452,-1140,0.17510986328125,0.231201171875,0.01190185546875,0.95684814453125,4.113
270,159,7783,104,14817,-574,-362,297,-1631,-452,-1140,0.17486572265625,0.2314453125,0.01080322265625,0.95684814453125,4.113
271,159,7898,-291,14640,-343,-334,182,-1631,-452,-1140,0.17462158203125,0.23175048828125,0.00982666015625,0.95684814453125,4.113
272,159,8004,-643,14812,-167,-221,118,-1631,-452,-1140,0.17437744140625,0.23193359375,0.00885009765625,0.95684814453125,4.113
273,159,8133,-856,14980,70,-143,-57,-1631,-491,-1140,0.1741943359375,0.23211669921875,0.008056640625,0.95684814453125,4.113
274,159,8288,-871,14923,321,-12,-177,-1631,-491,-1140,0.174072265625,0.2322998046875,0.0074462890625,0.956787109375,4.113
275,159,7987,-940,14743,616,24,-279,-1592,-491,-1179,0.17401123046875,0.232421875,0.00701904296875,0.956787109375,4.113
276,159,7991,-402,14616,905,-2,-329,-1592,-491,-1179,0.1739501953125,0.232666015625,0.0069580078125,0.956787109375,4.113
277,159,8061,-252,13838,1473,22,-527,-1592,-452,-1179,0.17388916015625,0.23309326171875,0.00726318359375,0.9566650390625,4.113
278,159,8212,-228,14115,1593,225,-613,-1592,-452,-1179,0.173828125,0.2333984375,0.0076904296875,0.95660400390625,4.113
279,159,8176,955,14401,1673,438,-748,-1592,-491,-1179,0.17401123046875,0.233642578125,0.00860595703125,0.95648193359375,4.113
280,159,7794,1740,14737,1748,586,-814,-1592,-491,-1179,0.17425537109375,0.233642578125,0.0098876953125,0.9564208984375,4.113
281,159,7286,2107,14417,1776,632,-884,-1513,-530,-1179,0.17462158203125,0.2335205078125,0.011474609375,0.9564208984375,4.113
282,159,6928,2464,14239,1734,611,-803,-1513,-530,-1179,0.17498779296875,0.2332763671875,0.01312255859375,0.95635986328125,4.113
283,159,6701,2834,14394,1665,519,-749,-1631,-452,-1179,0.1751708984375,0.23309326171875,0.0146484375,0.95635986328125,4.113
284,159,6745,2879,14461,1342,448,-581,-1631,-452,-1179,0.17535400390625,0.23291015625,0.0159912109375,0.95635986328125,4.113
285,159,6979,3486,15031,1070,317,-554,-1631,-570,-1179,0.1756591796875,0.2327880859375,0.01739501953125,0.956298828125,4.113
286,159,6483,3566,14312,916,441,-436,-1631,-570,-1179,0.17596435546875,0.2325439453125,0.01873779296875,0.95623779296875,4.113
287,159,6224,3834,14320,801,487,-356,-1592,-530,-1101,0.1761474609375,0.232177734375,0.02001953125,0.95623779296875,4.113
288,159,6226,3671,14313,699,392,-288,-1592,-530,-1101,0.17633056640625,0.23187255859375,0.021240234375,0.956298828125,4.113
289,159,6504,3842,14333,598,293,-155,-1474,-530,-1140,0.176513671875,0.23175048828125,0.02239990234375,0.95623779296875,4.113
290,159,6672,3197,14404,345,171,-96,-1474,-530,-1140,0.1766357421875,0.23162841796875,0.02313232421875,0.95623779296875,4.113
291,159,6515,3372,14500,235,132,-52,-1592,-491,-1179,0.17669677734375,0.2314453125,0.0238037109375,0.956298828125,4.113
292,159,6369,3000,14623,94,84,-40,-1592,-491,-1179,0.17669677734375,0.231201171875,0.024169921875,0.956298828125,4.113
293,159,6255,2779,14547,42,77,-13,-1553,-491,-1140,0.1767578125,0.23095703125,0.0245361328125,0.95635986328125,4.113
294,159,6131,2514,14542,-19,-13,11,-1553,-491,-1140,0.1767578125,0.23065185546875,0.024658203125,0.9564208984375,4.113
295,159,6294,2297,14618,-43,-163,62,-1553,-491,-1140,0.17669677734375,0.23046875,0.02471923828125,0.95648193359375,4.113
296,159,6496,2131,14625,-98,-246,136,-1553,-491,-1140,0.17657470703125,0.23040771484375,0.02459716796875,0.95654296875,4.113
297,159,6771,1818,14899,-121,-317,169,-1513,-530,-1140,0.176513671875,0.23046875,0.02435302734375,0.95654296875,4.113
298,159,7116,1722,14888,-83,-310,151,-1513,-530,-1140,0.17645263671875,0.2305908203125,0.02410888671875,0.95654296875,4.113
299,159,7327,1457,14884,-19,-288,90,-1592,-570,-1140,0.17633056640625,0.23077392578125,0.02386474609375,0.95654296875,4.113
300,159,7501,1089,14614,63,-271,18,-1592,-570,-1140,0.17626953125,0.23101806640625,0.02349853515625,0.95648193359375,4.113
301,159,7471,1184,14601,172,-288,-21,-1553,-570,-1140,0.17626953125,0.23126220703125,0.02325439453125,0.9564208984375,4.113
302,159,7575,1302,14687,254,-289,-23,-1553,-570,-1140,0.17620849609375,0.2315673828125,0.02313232421875,0.95635986328125,4.113
303,159,7683,1032,14760,398,-278,-72,-1631,-530,-1140,0.17608642578125,0.23193359375,0.02294921875,0.956298828125,4.113
304,159,7618,1233,14918,550,-171,-159,-1631,-530,-1140,0.176025390625,0.23211669921875,0.02294921875,0.95623779296875,4.113
305,159,7426,1312,14613,595,-41,-229,-1553,-530,-1101,0.176025390625,0.2322998046875,0.0230712890625,0.95623779296875,4.113
306,159,7224,1449,14614,719,-13,-284,-1553,-530,-1101,0.176025390625,0.23236083984375,0.0233154296875,0.9561767578125,4.113
307,159,7268,1632,14453,707,-82,-313,-1631,-491,-1179,0.176025390625,0.2325439453125,0.0235595703125,0.95611572265625,4.113
308,159,7218,1831,14504,750,-103,-320,-1631,-491,-1179,0.176025390625,0.23272705078125,0.02386474609375,0.95611572265625,4.113
309,159,7282,2192,14548,792,-70,-333,-1592,-570,-1101,0.1761474609375,0.23291015625,0.02447509765625,0.95599365234375,4.113
310,159,7333,2357,14650,792,10,-324,-1592,-570,-1101,0.17626953125,0.23309326171875,0.02508544921875,0.9559326171875,4.113
311,159,7346,2467,14466,802,97,-312,-1592,-570,-1218,0.17633056640625,0.23321533203125,0.02581787109375,0.95587158203125,4.113
312,159,7109,2451,14317,807,130,-293,-1592,-570,-1218,0.17645263671875,0.2332763671875,0.0264892578125,0.955810546875,4.113
313,159,6948,2562,13988,728,73,-310,-1631,-609,-1179,0.17657470703125,0.2333984375,0.0272216796875,0.95574951171875,4.113
314,159,6835,2904,13982,628,4,-255,-1631,-609,-1179,0.1767578125,0.2335205078125,0.0279541015625,0.9556884765625,4.113
315,159,6708,3113,14309,528,-67,-239,-1513,-530,-1140,0.1768798828125,0.2335205078125,0.0286865234375,0.95562744140625,4.113
316,159,6810,3513,14229,463,-61,-224,-1513,-530,-1140,0.17706298828125,0.233642578125,0.02947998046875,0.95550537109375,4.113
317,159,6565,3055,14267,347,-29,-192,-1553,-530,-1140,0.1771240234375,0.233642578125,0.030029296875,0.95550537109375,4.113
318,159,6478,3501,14165,238,-84,-156,-1553,-530,-1140,0.17724609375,0.233642578125,0.03070068359375,0.9554443359375,4.113
319,159,6189,3318,14233,137,-191,-88,-1592,-530,-1140,0.1773681640625,0.23358154296875,0.03118896484375,0.9554443359375,4.113
320,159,6250,3534,14593,67,-332,-44,-1592,-530,-1140,0.17742919921875,0.23358154296875,0.0316162109375,0.95538330078125,4.113
321,159,6241,3261,14472,-82,-461,-5,-1553,-530,-1140,0.17755126953125,0.233642578125,0.03192138671875,0.95538330078125,4.113
322,159,6360,3266,14423,-142,-515,24,-1553,-530,-1140,0.1776123046875,0.2337646484375,0.03216552734375,0.955322265625,4.113
323,159,6408,3056,14523,-204,-582,74,-1631,-570,-1179,0.1776123046875,0.23388671875,0.0322265625,0.95526123046875,4.113
324,159,6388,2971,14428,-265,-696,147,-1631,-570,-1179,0.1776123046875,0.23406982421875,0.0322265625,0.9552001953125,4.113
325,159,6106,2812,14468,-440,-944,231,-1513,-491,-1140,0.17755126953125,0.23431396484375,0.031982421875,0.9552001953125,4.113
326,159,6128,2867,14742,-663,-1235,324,-1513,-491,-1140,0.177490234375,0.234619140625,0.0316162109375,0.95513916015625,4.113
327,159,6187,2776,14834,-736,-1422,392,-1553,-570,-1140,0.177490234375,0.23504638671875,0.03118896484375,0.95501708984375,4.113
328,159,6144,2542,15047,-712,-1467,412,-1553,-570,-1140,0.17742919921875,0.23541259765625,0.0306396484375,0.9549560546875,4.113
329,159,6142,2351,15045,-611,-1530,388,-1592,-491,-1179,0.17724609375,0.23583984375,0.030029296875,0.95489501953125,4.113
330,159,6332,2064,14866,-599,-1659,416,-1592,-491,-1179,0.17706298828125,0.2364501953125,0.029296875,0.954833984375,4.113
331,159,6242,1701,14634,-546,-1898,404,-1513,-491,-1101,0.1768798828125,0.23712158203125,0.0284423828125,0.9547119140625,4.113
332,159,6463,1697,14720,-542,-2126,412,-1513,-491,-1101,0.17669677734375,0.238037109375,0.027587890625,0.95458984375,4.113
333,159,6647,1412,14823,-461,-2292,400,-1592,-530,-1101,0.176513671875,0.23907470703125,0.0267333984375,0.954345703125,4.113
334,159,6828,1265,15045,-317,-2391,363,-1592,-530,-1101,0.17626953125,0.24017333984375,0.02581787109375,0.95416259765625,4.113
335,159,7115,868,14922,-101,-2430,251,-1513,-530,-1140,0.1761474609375,0.24139404296875,0.02496337890625,0.953857421875,4.113
336,159,7146,657,14967,77,-2488,177,-1513,-530,-1140,0.17596435546875,0.24267578125,0.024169921875,0.95361328125,4.113
337,159,7048,674,14737,179,-2613,115,-1553,-570,-1140,0.1759033203125,0.2440185546875,0.0234375,0.95330810546875,4.113
338,159,7420,909,14735,288,-2690,80,-1553,-570,-1140,0.17578125,0.24554443359375,0.02288818359375,0.95294189453125,4.113
339,159,7926,1374,14683,311,-2711,67,-1631,-491,-1061,0.1756591796875,0.24725341796875,0.02239990234375,0.9525146484375,4.113
340,159,8242,1884,14596,378,-2603,23,-1631,-491,-1061,0.17547607421875,0.24908447265625,0.02215576171875,0.95208740234375,4.113
