ProgrNum,PacketType,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Q0,Q1,Q2,Q3,Vbat
0,159,-114,16028,-297,46,70,-474,924,-1671,-943,0.6416015625,0.65570068359375,-0.2816162109375,-0.281005859375,4.187
1,159,112,15942,-438,54,230,-387,924,-1671,-943,0.64141845703125,0.65728759765625,-0.28570556640625,-0.2734375,4.187
2,159,-201,16005,-602,88,225,-232,-688,-1985,-117,0.08673095703125,0.09906005859375,-0.71343994140625,-0.68817138671875,4.187
3,159,-292,16247,-587,101,170,-137,-688,-1985,-117,0.082275390625,0.09814453125,-0.7130126953125,-0.68927001953125,4.187
4,159,-372,16218,-638,138,208,-103,-688,-2025,-78,0.06512451171875,0.084228515625,-0.71588134765625,-0.68994140625,4.187
5,159,-663,16304,-436,128,228,-107,-688,-2025,-78,0.04498291015625,0.07525634765625,-0.7125244140625,-0.69610595703125,4.187
6,159,-646,16402,-246,110,152,-112,-727,-1985,-117,0.04962158203125,0.07830810546875,-0.70806884765625,-0.699951171875,4.187
91,159,-631,16385,-752,-30,32,-460,-727,-1907,-78,0.01092529296875,0.00653076171875,-0.701171875,-0.71270751953125,4.187
92,159,-662,16301,-337,-10,20,-352,-766,-1946,-78,0.0106201171875,0.00689697265625,-0.7012939453125,-0.712646484375,4.187
93,159,-634,16272,-433,44,-46,-232,-766,-1946,-78,0.0103759765625,0.00714111328125,-0.70147705078125,-0.71246337890625,4.187
94,159,-420,16410,-86,82,-157,-153,-727,-2025,-157,0.0101318359375,0.00732421875,-0.70147705078125,-0.71246337890625,4.187
95,159,-79,16391,37,99,-197,-44,-727,-2025,-157,0.010009765625,0.00732421875,-0.7015380859375,-0.71246337890625,4.187
96,159,-92,16264,150,88,-215,71,-727,-1985,-78,0.00994873046875,0.00726318359375,-0.7015380859375,-0.71240234375,4.187
97,159,99,16117,412,55,-180,124,-727,-1985,-78,0.0098876953125,0.007080078125,-0.7015380859375,-0.71240234375,4.187
194,159,-242,15926,-418,86,134,-493,-806,-2025,-117,0.01153564453125,0.01275634765625,-0.70550537109375,-0.7083740234375,4.187
