ProgrNum,PacketType,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Q0,Q1,Q2,Q3,Vbat
0,159,-1740,-16147,3289,244,501,-63,825,1789,-294,0.7740478515625,-0.62860107421875,0.07464599609375,-0.00836181640625,4.208
1,159,-1902,-16150,3043,337,487,-66,825,1749,-255,0.76934814453125,-0.63348388671875,0.0816650390625,-0.0084228515625,4.208
2,159,-1983,-16159,2956,363,500,-105,825,1749,-255,0.76763916015625,-0.6358642578125,0.07928466796875,-0.00146484375,4.208
3,159,-2032,-16058,3339,364,649,-201,1101,1789,-98,0.771484375,-0.61578369140625,0.1405029296875,-0.076171875,4.208
4,159,-2123,-15968,3132,526,694,-281,1101,1789,-98,0.76873779296875,-0.620849609375,0.13800048828125,-0.06671142578125,4.208
5,159,-2138,-15943,3303,506,532,-291,1140,1710,-58,0.77099609375,-0.61474609375,0.14642333984375,-0.0777587890625,4.208
6,159,-2077,-15864,3063,402,373,-226,1140,1710,-58,0.76763916015625,-0.62188720703125,0.138427734375,-0.06829833984375,4.208
91,159,-1904,-15986,3034,-257,-143,240,1101,1671,-98,0.771240234375,-0.61407470703125,0.14361572265625,-0.085205078125,4.208
92,159,-1979,-16007,3123,-187,-67,190,1101,1671,-98,0.77117919921875,-0.61419677734375,0.1436767578125,-0.08502197265625,4.208
93,159,-1953,-15961,3369,-98,44,103,1179,1671,-19,0.7711181640625,-0.6142578125,0.14373779296875,-0.0849609375,4.208
94,159,-1988,-15925,3513,-111,82,26,1179,1671,-19,0.7711181640625,-0.6142578125,0.143798828125,-0.0849609375,4.208
95,159,-2104,-16165,3567,-178,139,-14,1140,1749,-98,0.7711181640625,-0.6142578125,0.1439208984375,-0.08489990234375,4.208
96,159,-2180,-16403,3310,-167,24,-35,1140,1749,-98,0.77099609375,-0.61431884765625,0.14398193359375,-0.0848388671875,4.208
194,159,-1752,-16339,3091,-269,404,101,1258,1710,-137,0.7698974609375,-0.61376953125,0.147705078125,-0.09228515625,4.208
195,159,-1959,-16171,2984,-162,403,9,1218,1710,-58,0.76971435546875,-0.61395263671875,0.14794921875,-0.09234619140625,4.208
196,159,-2074,-16095,3132,-66,452,-42,1218,1710,-58,0.7696533203125,-0.61395263671875,0.148193359375,-0.0924072265625,4.208
295,159,-1791,-16562,3300,414,-490,96,1101,1710,58,0.766357421875,-0.61767578125,0.15057373046875,-0.09136962890625,4.208
296,159,-1811,-16452,3057,502,-428,10,1101,1710,58,0.7664794921875,-0.6175537109375,0.15032958984375,-0.09136962890625,4.208
322,159,-1568,-16518,2868,-535,631,-192,1179,1710,-58,0.7657470703125,-0.61944580078125,0.1468505859375,-0.09063720703125,4.208
323,159,-1608,-16430,2951,-448,693,-299,1140,1710,-19,0.765380859375,-0.6197509765625,0.14703369140625,-0.091064453125,4.208
324,159,-1703,-16399,3099,-347,815,-344,1140,1710,-19,0.76513671875,-0.61993408203125,0.147216796875,-0.091552734375,4.208
