ProgrNum,PacketType,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Q0,Q1,Q2,Q3,Vbat
0,159,6825,-15355,-1989,-2159,3531,-6254,-727,2025,294,0.62725830078125,-0.744873046875,-0.06201171875,-0.21844482421875,4.21
1,159,6689,-16090,-2428,-2060,3430,-6420,-727,2025,294,0.6463623046875,-0.736328125,-0.16357421875,-0.11456298828125,4.21
2,159,6251,-16737,-2290,-1976,3813,-6656,-1159,1395,1277,0.22503662109375,-0.486572265625,0.5716552734375,-0.62109375,4.21
3,159,5653,-17207,-2381,-1695,4782,-6876,-1159,1395,1277,0.221923828125,-0.46136474609375,0.593505859375,-0.62091064453125,4.21
4,159,5514,-16715,-2528,-1742,4712,-6831,-1199,1395,1277,0.20941162109375,-0.45379638671875,0.604248046875,-0.6204833984375,4.21
5,159,5048,-16948,-2692,-2048,5199,-6783,-1199,1395,1277,0.2056884765625,-0.43487548828125,0.621337890625,-0.61834716796875,4.21
90,159,17916,-28768,-18569,8786,-15286,-11219,-1199,1356,1631,0.43817138671875,-0.2593994140625,0.5162353515625,-0.68841552734375,4.135
91,159,25269,-29837,-9074,16397,-16914,-13023,-1199,1356,1631,0.4398193359375,-0.26776123046875,0.50201416015625,-0.69464111328125,4.135
92,159,23871,-30021,548,19100,-13763,-11748,-1159,1277,1631,0.44134521484375,-0.2735595703125,0.4873046875,-0.701904296875,4.135
93,159,21802,-26999,6507,17328,-7793,-11027,-1159,1277,1631,0.44097900390625,-0.27679443359375,0.47479248046875,-0.70941162109375,4.135
94,159,22434,-27491,10478,12220,-4305,-10814,-1199,1395,1592,0.43865966796875,-0.27972412109375,0.46539306640625,-0.71588134765625,4.135
95,159,20366,-30669,12997,4552,-756,-8878,-1199,1395,1592,0.434814453125,-0.28253173828125,0.46087646484375,-0.719970703125,4.135
96,159,16037,-32204,8168,-1012,3350,-8081,-1159,1317,1592,0.42919921875,-0.28460693359375,0.46063232421875,-0.72271728515625,4.135
195,159,-28981,-284,3925,-3289,-14961,-9428,-1081,1631,1159,0.3345947265625,-0.31402587890625,0.4615478515625,-0.75897216796875,4.135
196,159,-17509,-2092,7068,-2724,-17607,-9230,-1199,1671,1159,0.33575439453125,-0.32464599609375,0.45751953125,-0.7564697265625,4.135
197,159,-8866,-5742,7804,-3901,-16674,-9054,-1199,1671,1159,0.33642578125,-0.33477783203125,0.4539794921875,-0.75384521484375,4.135
198,159,-5662,-6637,9342,-4669,-9054,-10717,-1159,1513,1277,0.3338623046875,-0.3419189453125,0.4517822265625,-0.75311279296875,4.135
199,159,-2378,-7825,8613,-5784,-2154,-12371,-1159,1513,1277,0.32818603515625,-0.34637451171875,0.45098876953125,-0.7540283203125,4.135
200,159,-955,-9758,8759,-8828,3929,-14117,-1238,1395,1356,0.31915283203125,-0.34906005859375,0.45245361328125,-0.75579833984375,4.135
201,159,-5215,-11395,6422,-12602,13210,-14194,-1238,1395,1356,0.30657958984375,-0.34796142578125,0.45855712890625,-0.7578125,4.135
202,159,-9995,-11942,2827,-11409,23585,-16826,-1159,1317,1356,0.289794921875,-0.342529296875,0.46588134765625,-0.762451171875,4.135
203,159,-11431,-13767,-407,-8188,27367,-17221,-1159,1317,1356,0.2720947265625,-0.33489990234375,0.47222900390625,-0.76837158203125,4.135
204,159,-6440,-16131,-7595,-3253,22125,-15964,-1277,1356,1356,0.257080078125,-0.3292236328125,0.47540283203125,-0.7740478515625,4.135
205,159,1348,-19477,-8848,308,6441,-15548,-1277,1356,1356,0.24749755859375,-0.3310546875,0.4739990234375,-0.77728271484375,4.135
206,159,5021,-25939,-7492,3671,1627,-13898,-1474,1199,1277,0.24078369140625,-0.33428955078125,0.47021484375,-0.78033447265625,4.135
207,159,3272,-32634,-4055,5825,4215,-10775,-1474,1199,1277,0.23553466796875,-0.33465576171875,0.46636962890625,-0.7840576171875,4.135
208,159,-673,-32680,-4237,9197,6147,-6092,-1474,1081,1356,0.23284912109375,-0.33197021484375,0.46221923828125,-0.7884521484375,4.135
209,159,-940,-32689,-5419,16879,3371,-3887,-1474,1081,1356,0.23382568359375,-0.32891845703125,0.4542236328125,-0.7940673828125,4.135
210,159,8742,-29170,992,16946,-6503,-3300,-1435,1081,1238,0.2376708984375,-0.33099365234375,0.44439697265625,-0.79766845703125,4.135
211,159,21768,-20144,1068,7845,-11437,-1568,-1435,1081,1238,0.24127197265625,-0.33709716796875,0.43817138671875,-0.79742431640625,4.135
212,159,32163,-19383,-3360,-103,-13412,-785,-1474,1002,1238,0.24395751953125,-0.34539794921875,0.43585205078125,-0.7943115234375,4.135
213,159,32767,-25462,-7514,-3290,-13632,2424,-1474,1002,1238,0.2476806640625,-0.353271484375,0.43597412109375,-0.78961181640625,4.135
214,159,32767,-30055,-11531,-3973,-8705,6836,-1395,1002,1238,0.252197265625,-0.357421875,0.43841552734375,-0.78497314453125,4.135
215,159,32767,-29027,-16750,-136,745,13762,-1395,1002,1238,0.2584228515625,-0.3541259765625,0.4420166015625,-0.78240966796875,4.135
216,159,32767,-22385,-11933,8871,8718,21466,-1435,1002,1277,0.26812744140625,-0.34320068359375,0.4439697265625,-0.78289794921875,4.135
217,159,32767,-13455,-4726,10997,13146,27115,-1435,1002,1277,0.27960205078125,-0.328125,0.4462890625,-0.783935546875,4.135
218,159,32767,-5264,-1487,6673,11970,32124,-1395,1081,1238,0.2928466796875,-0.31292724609375,0.45123291015625,-0.782470703125,4.135
219,159,32767,-1388,-2173,2661,5517,32639,-1395,1081,1238,0.3072509765625,-0.30145263671875,0.456787109375,-0.7781982421875,4.135
220,159,29528,-2146,-2447,1514,-2067,32639,-1317,1199,1277,0.32354736328125,-0.29400634765625,0.4613037109375,-0.771728515625,4.135
221,159,28243,-2381,-2737,444,-5940,32639,-1317,1199,1277,0.34063720703125,-0.28857421875,0.46539306640625,-0.76397705078125,4.135
222,159,27919,-1079,-3555,-51,-7210,32639,-1159,1395,1277,0.35791015625,-0.28375244140625,0.46929931640625,-0.75543212890625,4.135
223,159,25808,1237,-3474,188,-7706,32639,-1159,1395,1277,0.37518310546875,-0.27899169921875,0.47271728515625,-0.74664306640625,4.135
224,159,27002,3365,-2453,1276,-7795,32639,-963,1474,1199,0.392578125,-0.27386474609375,0.475341796875,-0.7379150390625,4.135
225,159,28630,4914,-3883,2302,-5117,32639,-963,1474,1199,0.40911865234375,-0.26708984375,0.47796630859375,-0.72967529296875,4.135
226,159,26651,5846,-3818,4381,-1929,32639,-727,1592,1199,0.42498779296875,-0.25811767578125,0.480224609375,-0.7222900390625,4.135
227,159,25339,6384,-5070,3241,-87,32639,-727,1592,1199,0.43988037109375,-0.24853515625,0.48345947265625,-0.71453857421875,4.135
228,159,22497,7512,-6414,2352,2183,32639,-609,1592,1317,0.45379638671875,-0.238037109375,0.48760986328125,-0.70648193359375,4.135
229,159,19009,7283,-6145,2719,4541,32639,-609,1592,1317,0.46685791015625,-0.22625732421875,0.4921875,-0.69866943359375,4.135
230,159,14741,5683,-4939,2413,6805,32639,-412,1671,1277,0.47900390625,-0.21343994140625,0.49737548828125,-0.6907958984375,4.135
231,159,9099,2299,-4313,-296,9440,32639,-412,1671,1277,0.4896240234375,-0.2003173828125,0.504638671875,-0.68194580078125,4.135
232,159,943,-2493,-3678,-5746,10720,32639,-176,1828,1199,0.49908447265625,-0.1876220703125,0.515625,-0.67047119140625,4.135
233,159,-4978,-6372,-7320,-9502,7257,28030,-176,1828,1199,0.50738525390625,-0.17828369140625,0.526611328125,-0.658203125,4.135
234,159,-7707,-9239,-10639,-8651,633,23176,-58,1749,1199,0.5157470703125,-0.17303466796875,0.53424072265625,-0.6468505859375,4.135
235,159,-10013,-12657,-10977,-5830,-7969,22922,-58,1749,1199,0.52716064453125,-0.17041015625,0.53765869140625,-0.63543701171875,4.135
236,159,-12002,-18624,-4750,-918,-11060,21057,176,1749,1277,0.53936767578125,-0.16796875,0.5374755859375,-0.6258544921875,4.135
237,159,-10948,-17453,-2907,6888,-4249,14792,176,1749,1277,0.5474853515625,-0.16217041015625,0.5357666015625,-0.621826171875,4.135
238,159,-6734,-8582,-4395,13075,-5425,10694,216,1828,1277,0.5548095703125,-0.15606689453125,0.53070068359375,-0.6212158203125,4.135
239,159,-4914,-1725,3473,15873,-7693,8567,216,1828,1277,0.56353759765625,-0.14910888671875,0.522216796875,-0.62225341796875,4.135
240,159,-6004,1997,10727,11783,-4445,7295,294,1828,1159,0.5699462890625,-0.14324951171875,0.5157470703125,-0.6231689453125,4.135
241,159,-4533,3208,9236,-959,-6178,1427,294,1828,1159,0.57330322265625,-0.14471435546875,0.51324462890625,-0.621826171875,4.135
242,159,1172,1546,163,-6777,-1350,-2415,373,1867,1042,0.5723876953125,-0.14862060546875,0.5146484375,-0.62060546875,4.135
243,159,6604,1148,-3667,-7296,1922,-5795,373,1867,1042,0.568115234375,-0.15386962890625,0.51776123046875,-0.62066650390625,4.135
244,159,13090,1000,-5660,-6785,4605,-8716,294,1946,1120,0.56170654296875,-0.15887451171875,0.521240234375,-0.622314453125,4.135
245,159,16580,946,-5975,-3646,2590,-10251,294,1946,1120,0.5556640625,-0.16400146484375,0.52239990234375,-0.62542724609375,4.135
246,159,11921,-427,-1682,-2892,-1456,-10788,216,1867,1159,0.55096435546875,-0.17059326171875,0.521484375,-0.62860107421875,4.135
247,159,-9290,-7479,15286,1224,3031,-12854,216,1867,1159,0.5458984375,-0.1722412109375,0.51971435546875,-0.63397216796875,4.135
248,159,-31868,-32768,10151,11439,-3163,-23955,216,1867,1199,0.538818359375,-0.17681884765625,0.51190185546875,-0.64501953125,4.135
249,159,-31726,-32768,24448,-19774,-29056,-27159,216,1867,1199,0.53570556640625,-0.20355224609375,0.50689697265625,-0.64361572265625,4.135
250,159,-2210,-32610,13387,-32589,-17066,-32768,58,1946,1120,0.52294921875,-0.23345947265625,0.509765625,-0.641845703125,4.135
251,159,32767,-11688,-32768,-32589,32644,-32768,58,1946,1120,0.4923095703125,-0.24310302734375,0.52947998046875,-0.646484375,4.135
252,159,32590,9332,-32768,8920,-32768,10682,-255,1710,1592,0.50830078125,-0.251708984375,0.51727294921875,-0.6405029296875,4.135
253,159,32493,17291,-32768,32767,-32768,12981,-255,1710,1592,0.52886962890625,-0.25146484375,0.4951171875,-0.6414794921875,4.135
254,159,32767,28516,30766,32767,-32768,-4091,-216,1513,1749,0.54296875,-0.25518798828125,0.46844482421875,-0.64837646484375,4.135
255,159,32767,32767,25918,-12456,32644,-32768,-216,1513,1749,0.51715087890625,-0.25579833984375,0.47845458984375,-0.66168212890625,4.135
256,159,21763,10941,-30940,-25199,32644,-32768,-58,1867,1395,0.48779296875,-0.26177978515625,0.4949951171875,-0.6695556640625,4.135
257,159,11105,-17828,-2153,-6450,-3075,-28898,-58,1867,1395,0.474365234375,-0.27569580078125,0.49188232421875,-0.67584228515625,4.135
258,159,14055,-32409,16894,-12835,-349,-25640,-452,1867,1317,0.46044921875,-0.2889404296875,0.49169921875,-0.6800537109375,4.135
259,159,12899,-27176,3122,-31496,14367,-25765,-452,1867,1317,0.4378662109375,-0.30126953125,0.50469970703125,-0.68017578125,4.135
260,159,26118,-29625,-23019,-32589,10832,-24372,-491,1749,1356,0.4163818359375,-0.314697265625,0.51751708984375,-0.67791748046875,4.135
261,159,30902,-26891,-32768,-26310,-2870,-19927,-491,1749,1356,0.40234375,-0.330810546875,0.5245361328125,-0.67327880859375,4.135
