ProgrNum,PacketType,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Q0,Q1,Q2,Q3,Vbat
0,159,5926,-15058,-2820,-314,2605,-253,98,-334,-1828,0.52862548828125,-0.4251708984375,-0.63641357421875,0.366943359375,4.211
1,159,5699,-15378,-3236,-290,2351,-205,176,-412,-1789,0.52362060546875,-0.44549560546875,-0.631103515625,0.359130859375,4.211
2,159,5647,-15342,-3196,225,2192,-81,176,-412,-1789,0.52386474609375,-0.446044921875,-0.6300048828125,0.35992431640625,4.211
3,159,5301,-15132,-2726,436,1981,10,-176,1671,1474,0.4512939453125,-0.68499755859375,0.33843994140625,-0.4609375,4.211
4,159,5093,-15194,-2521,209,2133,-32,-176,1671,1474,0.45257568359375,-0.67523193359375,0.34881591796875,-0.46624755859375,4.211
5,159,4774,-15297,-2612,-59,2067,-47,-176,1710,1513,0.45086669921875,-0.669189453125,0.36407470703125,-0.4649658203125,4.211
6,159,4287,-15819,-2050,73,1470,-24,-176,1710,1513,0.4552001953125,-0.64007568359375,0.39031982421875,-0.48028564453125,4.211
92,159,6195,-15109,-817,237,279,91,-609,1710,1238,0.4150390625,-0.641845703125,0.36285400390625,-0.53277587890625,4.187
93,159,6318,-15019,-768,253,118,91,-570,1789,1317,0.41522216796875,-0.64166259765625,0.36279296875,-0.532958984375,4.187
94,159,6329,-15015,-799,265,23,17,-570,1789,1317,0.4154052734375,-0.6414794921875,0.36260986328125,-0.53314208984375,4.187
95,159,6393,-15187,-1013,160,-29,-75,-530,1749,1317,0.41546630859375,-0.64141845703125,0.36248779296875,-0.53326416015625,4.187
96,159,6541,-15278,-1082,233,-21,-80,-530,1749,1317,0.41558837890625,-0.641357421875,0.3623046875,-0.53338623046875,4.187
97,159,6586,-15301,-1015,225,26,-49,-491,1749,1238,0.41571044921875,-0.6412353515625,0.3621826171875,-0.53350830078125,4.187
194,159,6302,-15090,-1223,-151,273,35,-570,1828,1356,0.41363525390625,-0.636962890625,0.3721923828125,-0.5333251953125,4.187
195,159,6296,-15018,-1350,-118,239,35,-530,1710,1238,0.41351318359375,-0.63690185546875,0.37225341796875,-0.533447265625,4.187
196,159,6277,-15151,-1385,-163,182,13,-530,1710,1238,0.41339111328125,-0.63690185546875,0.37237548828125,-0.53350830078125,4.187
197,159,6236,-15095,-1436,-127,108,6,-491,1789,1317,0.413330078125,-0.63690185546875,0.37237548828125,-0.53350830078125,4.187
198,159,6408,-15090,-1458,-93,39,37,-491,1789,1317,0.41326904296875,-0.636962890625,0.3724365234375,-0.533447265625,4.187
199,159,6531,-15096,-1475,-47,87,32,-570,1789,1317,0.4132080078125,-0.636962890625,0.3724365234375,-0.53350830078125,4.187
200,159,6504,-15096,-1447,-122,173,68,-570,1789,1317,0.4130859375,-0.636962890625,0.37249755859375,-0.53363037109375,4.187
201,159,6480,-15137,-1486,-119,256,76,-570,1749,1277,0.41290283203125,-0.63690185546875,0.37255859375,-0.53369140625,4.187
202,159,6519,-15128,-1495,-105,363,96,-570,1749,1277,0.4127197265625,-0.6368408203125,0.3726806640625,-0.5338134765625,4.187
203,159,6495,-15077,-1483,-120,421,116,-530,1710,1238,0.41259765625,-0.63671875,0.37286376953125,-0.53399658203125,4.187
204,159,6452,-15181,-1486,-93,494,124,-530,1710,1238,0.41241455078125,-0.6365966796875,0.373046875,-0.53411865234375,4.187
205,159,6421,-15225,-1454,-43,501,119,-530,1749,1277,0.41229248046875,-0.63641357421875,0.3731689453125,-0.5343017578125,4.187
206,159,6321,-15146,-1437,-101,529,101,-530,1749,1277,0.41217041015625,-0.63623046875,0.3734130859375,-0.53448486328125,4.187
207,159,6195,-15199,-1316,-41,519,124,-491,1789,1395,0.412109375,-0.63604736328125,0.37359619140625,-0.53466796875,4.187
208,159,6187,-15203,-1261,-37,488,98,-491,1789,1395,0.41204833984375,-0.6358642578125,0.37371826171875,-0.53485107421875,4.187
209,159,6146,-15144,-1348,-29,492,82,-530,1710,1356,0.41192626953125,-0.6356201171875,0.3739013671875,-0.5350341796875,4.187
210,159,6142,-15204,-1419,-62,523,94,-530,1710,1356,0.41180419921875,-0.63543701171875,0.37408447265625,-0.53521728515625,4.187
211,159,6054,-15209,-1442,-43,480,82,-491,1671,1317,0.4117431640625,-0.63531494140625,0.374267578125,-0.53533935546875,4.187
212,159,6127,-15204,-1331,-11,476,79,-491,1671,1317,0.41168212890625,-0.63507080078125,0.37445068359375,-0.5355224609375,4.187
213,159,6099,-15208,-1363,-47,477,65,-530,1671,1238,0.41156005859375,-0.63494873046875,0.3746337890625,-0.53570556640625,4.187
214,159,5919,-15214,-1369,-58,528,48,-530,1671,1238,0.41143798828125,-0.63470458984375,0.37481689453125,-0.53582763671875,4.187
215,159,5951,-15198,-1302,-42,445,26,-570,1710,1356,0.41131591796875,-0.63458251953125,0.375,-0.5360107421875,4.187
216,159,5943,-15198,-1381,-16,431,-37,-570,1710,1356,0.41119384765625,-0.6343994140625,0.3751220703125,-0.53619384765625,4.187
217,159,5995,-15246,-1429,-41,367,-15,-530,1710,1317,0.4111328125,-0.63427734375,0.375244140625,-0.53631591796875,4.187
218,159,6049,-15222,-1568,24,342,-2,-530,1710,1317,0.4110107421875,-0.63421630859375,0.3753662109375,-0.53643798828125,4.187
219,159,6111,-15204,-1335,83,356,-10,-570,1671,1317,0.41094970703125,-0.634033203125,0.3753662109375,-0.53662109375,4.187
220,159,6098,-15136,-1308,68,371,10,-570,1671,1317,0.41082763671875,-0.6339111328125,0.37548828125,-0.536865234375,4.187
221,159,6055,-15144,-1208,53,381,5,-609,1710,1238,0.4107666015625,-0.63372802734375,0.37554931640625,-0.53704833984375,4.187
222,159,5987,-15226,-1358,24,410,-23,-609,1710,1238,0.41064453125,-0.63360595703125,0.37567138671875,-0.5372314453125,4.187
223,159,6056,-15184,-1208,52,385,-51,-648,1789,1277,0.4105224609375,-0.6334228515625,0.37567138671875,-0.5374755859375,4.187
224,159,6176,-15138,-1079,80,353,-57,-648,1789,1277,0.41046142578125,-0.63330078125,0.37567138671875,-0.5377197265625,4.187
225,159,6072,-15119,-1070,64,345,-41,-491,1710,1277,0.41046142578125,-0.63311767578125,0.375732421875,-0.53790283203125,4.187
226,159,6126,-15068,-1249,5,346,-41,-491,1710,1277,0.410400390625,-0.63299560546875,0.37579345703125,-0.5380859375,4.187
227,159,6202,-15143,-1281,62,311,-72,-609,1749,1356,0.4102783203125,-0.63287353515625,0.37579345703125,-0.53826904296875,4.187
228,159,6147,-15055,-1150,49,280,-70,-609,1749,1356,0.41015625,-0.63275146484375,0.37579345703125,-0.5384521484375,4.187
229,159,6139,-15168,-1260,34,287,-74,-491,1749,1356,0.41015625,-0.63262939453125,0.3758544921875,-0.53857421875,4.187
230,159,6154,-15148,-1360,51,203,-86,-491,1749,1356,0.41009521484375,-0.632568359375,0.3758544921875,-0.5386962890625,4.187
231,159,6143,-15123,-1225,124,114,-92,-530,1710,1277,0.41015625,-0.63250732421875,0.37579345703125,-0.538818359375,4.187
232,159,6254,-15118,-1238,144,36,-111,-530,1710,1277,0.41015625,-0.63250732421875,0.37567138671875,-0.53887939453125,4.187
233,159,6529,-15051,-1277,174,35,-93,-530,1671,1395,0.41009521484375,-0.63250732421875,0.37548828125,-0.53900146484375,4.187
234,159,6646,-15069,-1112,154,75,-61,-530,1671,1395,0.41009521484375,-0.6324462890625,0.3753662109375,-0.5391845703125,4.187
