ProgrNum,PacketType,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Q0,Q1,Q2,Q3,Vbat
1,159,15960,4480,32,-889,772,180,1985,-884,1022,0.40289306640625,0.66778564453125,-0.230224609375,0.58184814453125,4.166
2,159,15856,4434,-57,-782,788,159,1985,-884,1022,0.400146484375,0.6700439453125,-0.22955322265625,0.58148193359375,4.166
3,159,15860,4328,-223,-626,673,145,-2182,98,668,0.187744140625,-0.61163330078125,-0.3642578125,-0.67669677734375,4.166
4,159,15803,4379,-255,-523,624,70,-2182,98,668,0.1893310546875,-0.60980224609375,-0.36859130859375,-0.67547607421875,4.166
5,159,15569,4407,-384,-393,502,-6,-2103,137,786,0.16815185546875,-0.6212158203125,-0.3548583984375,-0.6781005859375,4.166
6,159,15539,4450,-499,-277,488,-52,-2103,137,786,0.1712646484375,-0.62030029296875,-0.36138916015625,-0.6746826171875,4.166
91,159,15175,5160,-87,43,-23,-46,-2182,58,668,0.1890869140625,-0.59686279296875,-0.3935546875,-0.6729736328125,4.166
92,159,15176,5185,43,40,-78,63,-2182,58,668,0.1890869140625,-0.5968017578125,-0.39361572265625,-0.67303466796875,4.166
93,159,15184,5145,27,49,-203,211,-2182,98,668,0.1890869140625,-0.59686279296875,-0.3935546875,-0.6729736328125,4.166
94,159,15382,5008,50,73,-295,326,-2182,98,668,0.189208984375,-0.59698486328125,-0.39349365234375,-0.6728515625,4.166
95,159,15617,5010,-43,74,-353,387,-2182,98,707,0.1893310546875,-0.59722900390625,-0.39337158203125,-0.6727294921875,4.166
96,159,15645,4970,-110,44,-332,450,-2182,98,707,0.189453125,-0.597412109375,-0.39324951171875,-0.67254638671875,4.166
194,159,15197,5143,-242,-182,169,-192,-2182,98,747,0.1824951171875,-0.5977783203125,-0.389404296875,-0.6763916015625,4.093
195,159,15293,4985,-135,-194,226,-223,-2103,58,668,0.182373046875,-0.59759521484375,-0.389404296875,-0.67657470703125,4.093
196,159,15012,5119,-49,-151,292,-159,-2103,58,668,0.18231201171875,-0.597412109375,-0.38934326171875,-0.67681884765625,4.093
197,159,14969,5070,-24,-197,281,-154,-2182,58,668,0.1822509765625,-0.59722900390625,-0.3892822265625,-0.677001953125,4.093
258,159,15417,4906,166,-332,-24,-205,-2143,58,707,0.17779541015625,-0.595458984375,-0.3851318359375,-0.68212890625,4.093
259,159,15403,5041,185,-340,2,-221,-2143,137,707,0.1776123046875,-0.59539794921875,-0.38507080078125,-0.6822509765625,4.093
260,159,15368,5074,257,-405,36,-156,-2143,137,707,0.17742919921875,-0.5953369140625,-0.3848876953125,-0.68243408203125,4.093
261,159,15421,5067,396,-355,78,-110,-2221,137,825,0.17724609375,-0.59527587890625,-0.38470458984375,-0.68267822265625,4.093
262,159,15324,5105,305,-340,130,-55,-2221,137,825,0.17706298828125,-0.59521484375,-0.38458251953125,-0.682861328125,4.093
263,159,15535,5136,330,-330,88,6,-2143,98,707,0.177001953125,-0.59515380859375,-0.3843994140625,-0.68304443359375,4.093
264,159,15651,5149,293,-342,58,156,-2143,98,707,0.177001953125,-0.59515380859375,-0.3841552734375,-0.68316650390625,4.093
265,159,15569,5207,190,-334,76,216,-2143,19,825,0.1768798828125,-0.59521484375,-0.3839111328125,-0.68328857421875,4.093
266,159,15689,5070,377,-290,-99,295,-2143,19,825,0.17681884765625,-0.59539794921875,-0.3836669921875,-0.68328857421875,4.093
267,159,15913,5050,-6,-280,-65,231,-2182,98,707,0.17681884765625,-0.59552001953125,-0.3834228515625,-0.68328857421875,4.093
268,159,16146,5034,149,-297,-37,179,-2182,98,707,0.17681884765625,-0.5955810546875,-0.3831787109375,-0.683349609375,4.093
