ProgrNum,PacketType,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Q0,Q1,Q2,Q3,Vbat
0,159,-4058,-15266,7621,-2665,972,-2726,19,1907,176,0.53759765625,-0.22064208984375,0.4837646484375,-0.65435791015625,4.119
1,159,-4131,-15611,7552,-2458,531,-3001,-19,1985,58,0.5045166015625,-0.20025634765625,0.498046875,-0.6761474609375,4.119
2,159,-3891,-15899,7626,-2229,185,-3198,-19,1985,58,0.50860595703125,-0.21295166015625,0.493408203125,-0.672607421875,4.119
3,159,-3556,-15970,7856,-1980,-54,-3239,-216,1828,-688,0.181640625,0.00146484375,0.532470703125,-0.82666015625,4.119
4,159,-3391,-16068,7930,-1887,-170,-3048,-216,1828,-688,0.18463134765625,-0.0062255859375,0.531494140625,-0.82659912109375,4.119
5,159,-3395,-16096,7820,-1944,-227,-2768,-216,1828,-766,0.127685546875,0.02996826171875,0.5333251953125,-0.83563232421875,4.119
6,159,-3374,-16128,7883,-2017,-371,-2441,-216,1828,-766,0.1309814453125,0.02703857421875,0.53240966796875,-0.8358154296875,4.119
91,159,-4385,-17526,9318,-433,2646,-569,-19,1710,-963,0.29510498046875,0.00457763671875,0.47088623046875,-0.83123779296875,4.119
92,159,-4163,-17635,8662,592,2284,-161,-19,1710,-963,0.29388427734375,0.00531005859375,0.4715576171875,-0.831298828125,4.119
93,159,-3778,-17274,8811,2197,1902,408,-19,1710,-1042,0.29296875,0.00616455078125,0.47119140625,-0.83184814453125,4.119
94,159,-3676,-16261,9080,3602,1699,1092,-19,1710,-1042,0.29248046875,0.00738525390625,0.46990966796875,-0.83270263671875,4.119
95,159,-3934,-14774,9057,4848,1393,1847,-19,1710,-963,0.2926025390625,0.00909423828125,0.4677734375,-0.8338623046875,4.119
96,159,-4600,-12622,8917,5896,915,2545,-19,1710,-963,0.29351806640625,0.01141357421875,0.46466064453125,-0.835205078125,4.119
97,159,-4823,-10132,9623,6607,657,2564,19,1828,-963,0.295166015625,0.01434326171875,0.4603271484375,-0.83697509765625,4.119
194,159,-6438,-6528,11311,2769,-3499,-1420,412,1474,-1317,0.284912109375,0.111328125,0.38836669921875,-0.8690185546875,4.11
195,159,-6725,-7415,11092,3032,-3025,-1496,334,1435,-1356,0.28515625,0.1104736328125,0.38494873046875,-0.87060546875,4.11
196,159,-7087,-8340,11306,3322,-2549,-1592,334,1435,-1356,0.28509521484375,0.10992431640625,0.3818359375,-0.8720703125,4.11
197,159,-7452,-9024,11134,3775,-1762,-1480,294,1474,-1317,0.28472900390625,0.1099853515625,0.379150390625,-0.8734130859375,4.11
198,159,-7918,-8995,10905,4625,-959,-1309,294,1474,-1317,0.28424072265625,0.11090087890625,0.3763427734375,-0.87469482421875,4.11
199,159,-8023,-8554,10512,5534,-126,-1067,334,1513,-1395,0.28363037109375,0.1126708984375,0.37310791015625,-0.87603759765625,4.11
200,159,-7990,-7937,9317,6242,693,-499,334,1513,-1395,0.2830810546875,0.11529541015625,0.36981201171875,-0.87725830078125,4.11
201,159,-8156,-7258,7184,6548,1552,433,294,1513,-1395,0.28271484375,0.11865234375,0.3668212890625,-0.878173828125,4.11
202,159,-8190,-7298,4877,6064,2102,1039,294,1513,-1395,0.28240966796875,0.1221923828125,0.364501953125,-0.8787841796875,4.11
203,159,-8309,-8609,2546,5058,2746,1201,255,1317,-1474,0.281982421875,0.12579345703125,0.36309814453125,-0.8790283203125,4.11
204,159,-8610,-10831,1341,4315,3562,1001,255,1317,-1474,0.2811279296875,0.12933349609375,0.36236572265625,-0.87908935546875,4.11
205,159,-9207,-13127,1134,4212,4423,606,255,1395,-1435,0.27984619140625,0.1331787109375,0.36199951171875,-0.87908935546875,4.11
206,159,-9609,-14699,2552,4324,4993,101,255,1395,-1435,0.278076171875,0.1370849609375,0.36163330078125,-0.879150390625,4.11
207,159,-9455,-15397,4776,3728,5271,-555,334,1356,-1435,0.27587890625,0.14080810546875,0.36175537109375,-0.87921142578125,4.11
208,159,-9467,-15761,7092,2675,5585,-927,334,1356,-1435,0.2734375,0.14434814453125,0.362548828125,-0.87908935546875,4.11
