ProgrNum,PacketType,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Q0,Q1,Q2,Q3,Vbat
0,159,-2895,-16066,3153,309,1561,200,-176,1553,-1159,0.33831787109375,-0.376220703125,-0.51336669921875,0.69305419921875,4.109
1,159,-2833,-15937,3148,366,1517,168,-137,1553,-1159,0.35235595703125,-0.385009765625,-0.5062255859375,0.68646240234375,4.109
2,159,-2857,-15901,3212,313,1299,254,-137,1553,-1159,0.350341796875,-0.38299560546875,-0.5057373046875,0.68896484375,4.109
3,159,-2856,-15857,3358,260,1126,246,-530,2103,-19,0.22308349609375,-0.0714111328125,0.62677001953125,-0.74310302734375,4.109
4,159,-2820,-15876,3377,156,1036,249,-530,2103,-19,0.223876953125,-0.07342529296875,0.62615966796875,-0.74322509765625,4.109
5,159,-2856,-15865,3318,37,951,300,-570,2182,19,0.23114013671875,-0.07855224609375,0.62689208984375,-0.73980712890625,4.109
6,159,-2870,-15886,3160,23,832,351,-570,2182,19,0.22393798828125,-0.07330322265625,0.63128662109375,-0.73883056640625,4.109
91,159,-2478,-15677,3409,-510,2299,-439,-609,2064,-58,0.22076416015625,-0.08294677734375,0.62451171875,-0.74444580078125,4.109
92,159,-2415,-15793,3218,-367,2359,-387,-609,2064,-58,0.21954345703125,-0.08203125,0.625,-0.7445068359375,4.109
93,159,-2488,-15961,3283,-250,2391,-368,-570,2064,-58,0.2183837890625,-0.0810546875,0.62542724609375,-0.74456787109375,4.109
94,159,-2568,-16018,3181,-75,2385,-352,-570,2064,-58,0.21722412109375,-0.080078125,0.62579345703125,-0.74468994140625,4.109
95,159,-2748,-16052,3124,-2,2346,-398,-570,2103,-19,0.216064453125,-0.0791015625,0.62615966796875,-0.74481201171875,4.109
96,159,-2777,-16196,3275,40,2195,-428,-570,2103,-19,0.21502685546875,-0.078125,0.62646484375,-0.7449951171875,4.109
197,159,-2909,-15870,3240,393,242,114,-570,2103,-58,0.20880126953125,-0.06439208984375,0.626220703125,-0.748291015625,4.109
198,159,-2975,-15786,3510,490,82,127,-570,2103,-58,0.20892333984375,-0.064208984375,0.6259765625,-0.74847412109375,4.109
199,159,-2866,-15784,3631,466,-28,103,-609,2182,-19,0.20904541015625,-0.06402587890625,0.625732421875,-0.7486572265625,4.109
200,159,-2812,-15687,3599,275,-48,118,-609,2182,-19,0.20916748046875,-0.06396484375,0.62554931640625,-0.74871826171875,4.109
201,159,-2548,-15736,3604,128,-24,137,-570,2143,-98,0.209228515625,-0.06396484375,0.62542724609375,-0.74884033203125,4.109
202,159,-2756,-15848,3345,6,-61,257,-570,2143,-98,0.2093505859375,-0.0638427734375,0.62542724609375,-0.74884033203125,4.109
203,159,-2864,-15849,3378,103,-80,237,-609,2143,-58,0.20953369140625,-0.06378173828125,0.62542724609375,-0.748779296875,4.109
204,159,-2785,-15836,3321,96,-119,233,-609,2143,-58,0.20965576171875,-0.063720703125,0.6253662109375,-0.748779296875,4.109
205,159,-2865,-15890,3216,61,-146,335,-609,2103,-137,0.2098388671875,-0.0635986328125,0.6253662109375,-0.748779296875,4.109
206,159,-2869,-15877,3283,96,-264,319,-609,2103,-137,0.2100830078125,-0.06353759765625,0.62530517578125,-0.748779296875,4.109
207,159,-2885,-15870,3283,86,-335,304,-530,2064,-98,0.21038818359375,-0.06353759765625,0.625244140625,-0.74871826171875,4.109
208,159,-2829,-15789,3349,38,-344,293,-530,2064,-98,0.21063232421875,-0.06353759765625,0.62518310546875,-0.74871826171875,4.109
209,159,-2808,-15796,3405,9,-490,344,-609,2103,-58,0.21099853515625,-0.0635986328125,0.6251220703125,-0.7486572265625,4.109
210,159,-2717,-15795,3388,-167,-507,281,-609,2103,-58,0.2113037109375,-0.06378173828125,0.62518310546875,-0.74853515625,4.109
211,159,-2629,-15810,3328,-150,-531,287,-609,2064,-98,0.2115478515625,-0.06396484375,0.62518310546875,-0.7484130859375,4.109
212,159,-2616,-15974,3288,-97,-528,289,-609,2064,-98,0.21185302734375,-0.06414794921875,0.62518310546875,-0.74835205078125,4.109
213,159,-2472,-15896,3394,-27,-479,307,-570,2143,-58,0.21209716796875,-0.06439208984375,0.6251220703125,-0.74822998046875,4.109
214,159,-2490,-15968,3481,-11,-416,322,-570,2143,-58,0.21234130859375,-0.06451416015625,0.6251220703125,-0.74822998046875,4.109
215,159,-2438,-15967,3461,8,-318,287,-570,2103,-98,0.2125244140625,-0.06463623046875,0.62506103515625,-0.74822998046875,4.109
216,159,-2522,-15976,3482,48,-221,285,-570,2103,-98,0.212646484375,-0.064697265625,0.62493896484375,-0.74822998046875,4.109
217,159,-2549,-16085,3435,196,-271,305,-570,2103,-58,0.212890625,-0.06475830078125,0.6248779296875,-0.74822998046875,4.109
218,159,-2661,-15925,3645,394,-351,277,-570,2103,-58,0.213134765625,-0.0648193359375,0.62457275390625,-0.7484130859375,4.109
219,159,-2790,-15869,3912,336,-343,262,-648,2182,-98,0.21337890625,-0.06475830078125,0.624267578125,-0.74859619140625,4.109
220,159,-2691,-15832,3939,100,-355,265,-648,2182,-98,0.213623046875,-0.0648193359375,0.6240234375,-0.74871826171875,4.109
221,159,-2474,-15883,3611,-178,-361,57,-609,2143,-58,0.2137451171875,-0.06512451171875,0.6240234375,-0.7486572265625,4.109
222,159,-2329,-16082,3531,-191,-228,116,-609,2143,-58,0.2137451171875,-0.0653076171875,0.6240234375,-0.74859619140625,4.109
223,159,-2231,-16126,3221,41,-57,240,-609,2103,-19,0.21380615234375,-0.06536865234375,0.62408447265625,-0.74853515625,4.109
224,159,-2627,-16103,3162,444,-46,313,-609,2103,-19,0.21392822265625,-0.0653076171875,0.6240234375,-0.74859619140625,4.109
225,159,-2733,-15812,3333,604,-59,270,-530,2103,-58,0.21405029296875,-0.06512451171875,0.623779296875,-0.748779296875,4.109
226,159,-2654,-15751,3343,531,-177,250,-530,2103,-58,0.2142333984375,-0.06512451171875,0.62353515625,-0.7489013671875,4.109
227,159,-2565,-15737,3473,455,-200,230,-530,2025,-137,0.21435546875,-0.0650634765625,0.62322998046875,-0.7491455078125,4.109
228,159,-2634,-15654,3446,328,-148,270,-530,2025,-137,0.21453857421875,-0.06500244140625,0.623046875,-0.749267578125,4.109
229,159,-2807,-15604,3424,183,-170,287,-570,2182,-98,0.2147216796875,-0.06494140625,0.6229248046875,-0.749267578125,4.109
230,159,-2694,-15683,3395,116,-255,215,-570,2182,-98,0.21490478515625,-0.06500244140625,0.62286376953125,-0.749267578125,4.109
