ProgrNum,PacketType,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Q0,Q1,Q2,Q3,Vbat
0,159,5916,-17172,857,309,291,-898,-1297,1592,924,0.22393798828125,-0.415771484375,0.5509033203125,-0.68798828125,4.129
1,159,6098,-16918,1029,587,181,-1016,-1376,1553,884,0.2032470703125,-0.40411376953125,0.5550537109375,-0.697998046875,4.129
2,159,6048,-16940,758,894,-53,-1000,-1376,1553,884,0.1966552734375,-0.4014892578125,0.56365966796875,-0.69451904296875,4.129
3,159,5856,-16555,789,1117,-604,-954,-1454,1553,963,0.19561767578125,-0.398193359375,0.56475830078125,-0.69580078125,4.129
4,159,5912,-16469,940,1308,-1190,-975,-1454,1553,963,0.1993408203125,-0.40130615234375,0.55865478515625,-0.6978759765625,4.129
5,159,6180,-16063,975,1383,-1641,-1008,-1415,1474,924,0.19659423828125,-0.4107666015625,0.55035400390625,-0.69970703125,4.129
6,159,6647,-15861,1173,1312,-1762,-972,-1415,1474,924,0.20318603515625,-0.428466796875,0.5313720703125,-0.701904296875,4.129
7,159,7328,-15963,837,1082,-1539,-896,-1415,1474,963,0.20465087890625,-0.45343017578125,0.52008056640625,-0.69415283203125,4.129
8,159,7848,-15795,756,989,-1089,-803,-1415,1474,963,0.2066650390625,-0.4722900390625,0.50543212890625,-0.69183349609375,4.129
9,159,8293,-15552,391,844,-542,-648,-1454,1435,884,0.177001953125,-0.47149658203125,0.5162353515625,-0.692626953125,4.129
10,159,8324,-15259,605,811,112,-436,-1454,1435,884,0.18377685546875,-0.4774169921875,0.50457763671875,-0.69537353515625,4.129
11,159,7912,-14799,330,783,720,-92,-1376,1513,924,0.2113037109375,-0.49798583984375,0.49200439453125,-0.6820068359375,4.129
12,159,7011,-14100,137,525,1103,174,-1376,1513,924,0.20098876953125,-0.47906494140625,0.51580810546875,-0.68109130859375,4.129
13,159,6181,-13758,234,298,1246,357,-1454,1474,884,0.1693115234375,-0.43133544921875,0.55328369140625,-0.692138671875,4.129
14,159,5576,-13613,250,51,1205,627,-1454,1474,884,0.16693115234375,-0.41021728515625,0.5684814453125,-0.6932373046875,4.129
15,159,5399,-13535,219,-119,1017,854,-1376,1474,884,0.1815185546875,-0.41754150390625,0.56402587890625,-0.6888427734375,4.129
16,159,5221,-13819,409,-130,807,1210,-1376,1474,884,0.18548583984375,-0.40679931640625,0.56622314453125,-0.6923828125,4.129
17,159,5093,-13927,-102,-319,671,1539,-1454,1513,1002,0.1785888671875,-0.40460205078125,0.58282470703125,-0.681640625,4.129
18,159,5029,-14149,-331,-552,392,1462,-1454,1513,1002,0.17181396484375,-0.3975830078125,0.59405517578125,-0.67779541015625,4.129
19,159,5262,-14270,-380,-682,343,1280,-1376,1513,963,0.179443359375,-0.4119873046875,0.58544921875,-0.67474365234375,4.129
20,159,5119,-14416,-474,-704,419,962,-1376,1513,963,0.179443359375,-0.4119873046875,0.58544921875,-0.67474365234375,4.129
21,159,5036,-14809,-48,-759,520,435,-1415,1513,924,0.17926025390625,-0.41156005859375,0.58587646484375,-0.674560546875,4.129
22,159,4766,-15006,298,-664,800,54,-1415,1513,924,0.178955078125,-0.41107177734375,0.58624267578125,-0.67462158203125,4.129
23,159,4271,-14883,500,-603,1146,-224,-1415,1513,924,0.178466796875,-0.41046142578125,0.5865478515625,-0.67486572265625,4.129
24,159,3898,-14751,498,-696,1127,-485,-1415,1513,924,0.17791748046875,-0.40985107421875,0.58685302734375,-0.675048828125,4.129
25,159,3480,-14880,463,-594,976,-647,-1494,1592,963,0.17742919921875,-0.40936279296875,0.58709716796875,-0.67529296875,4.129
26,159,3148,-15101,140,-409,514,-807,-1494,1592,963,0.17718505859375,-0.40911865234375,0.5872802734375,-0.67535400390625,4.129
27,159,3328,-15502,94,-31,-307,-996,-1454,1513,924,0.17718505859375,-0.40924072265625,0.587158203125,-0.6754150390625,4.129
28,159,3671,-15881,57,226,-1016,-1110,-1454,1513,924,0.177490234375,-0.40972900390625,0.58673095703125,-0.6754150390625,4.129
29,159,4271,-16014,755,448,-1590,-1083,-1454,1513,924,0.177978515625,-0.410400390625,0.5860595703125,-0.6754150390625,4.129
30,159,4454,-16235,751,695,-1845,-990,-1454,1513,924,0.1787109375,-0.41119384765625,0.585205078125,-0.67547607421875,4.129
31,159,4350,-16507,821,868,-2051,-1112,-1415,1474,924,0.17950439453125,-0.4119873046875,0.58428955078125,-0.67559814453125,4.129
32,159,4483,-17069,692,958,-2290,-1431,-1415,1474,924,0.1802978515625,-0.4130859375,0.583251953125,-0.6756591796875,4.129
33,159,5123,-17246,593,1262,-2550,-1812,-1494,1474,924,0.18096923828125,-0.41448974609375,0.58184814453125,-0.67578125,4.129
34,159,6203,-17259,337,1520,-2679,-2072,-1494,1474,924,0.18145751953125,-0.4161376953125,0.58026123046875,-0.676025390625,4.129
35,159,7281,-16850,759,1670,-2445,-2059,-1336,1474,924,0.18182373046875,-0.41778564453125,0.57843017578125,-0.67645263671875,4.129
36,159,8048,-16067,831,1674,-2180,-1938,-1336,1474,924,0.1820068359375,-0.41937255859375,0.57659912109375,-0.677001953125,4.129
37,159,8059,-15829,658,1548,-2073,-1872,-1415,1553,884,0.18212890625,-0.42095947265625,0.57489013671875,-0.67742919921875,4.129
38,159,7826,-16035,650,1524,-1825,-1906,-1415,1553,884,0.18212890625,-0.42242431640625,0.57318115234375,-0.677978515625,4.129
39,159,7750,-15946,359,1458,-1488,-1759,-1454,1395,884,0.18206787109375,-0.42364501953125,0.5716552734375,-0.67852783203125,4.129
40,159,7571,-15791,590,1439,-1222,-1442,-1454,1395,884,0.1820068359375,-0.42462158203125,0.57025146484375,-0.67913818359375,4.129
41,159,7262,-15415,531,1269,-973,-1097,-1454,1474,924,0.18206787109375,-0.42535400390625,0.56903076171875,-0.67962646484375,4.129
42,159,6793,-15066,417,1032,-733,-681,-1454,1474,924,0.18218994140625,-0.42584228515625,0.56817626953125,-0.6800537109375,4.129
43,159,6557,-14668,13,732,-524,-201,-1494,1474,884,0.18231201171875,-0.4261474609375,0.567626953125,-0.6802978515625,4.129
44,159,6257,-14150,-186,423,-234,231,-1494,1474,884,0.1824951171875,-0.4261474609375,0.5673828125,-0.680419921875,4.129
45,159,6206,-14085,-445,86,-223,487,-1376,1435,924,0.18267822265625,-0.4261474609375,0.56744384765625,-0.6802978515625,4.129
46,159,6455,-14197,-407,-229,31,636,-1376,1435,924,0.1827392578125,-0.42608642578125,0.56768798828125,-0.68011474609375,4.129
47,159,6358,-14217,-135,-485,537,923,-1454,1395,963,0.18267822265625,-0.4256591796875,0.56817626953125,-0.6800537109375,4.129
48,159,5883,-14069,43,-754,1078,1114,-1454,1395,963,0.1824951171875,-0.42486572265625,0.56884765625,-0.67999267578125,4.129
49,159,4833,-13898,-72,-988,1455,1302,-1494,1356,963,0.18231201171875,-0.42376708984375,0.56988525390625,-0.67987060546875,4.129
50,159,4331,-13907,23,-1340,1509,1381,-1494,1356,963,0.18212890625,-0.42254638671875,0.57110595703125,-0.6796875,4.129
51,159,3616,-14140,-240,-1456,1227,1255,-1454,1474,924,0.18206787109375,-0.42144775390625,0.5723876953125,-0.67926025390625,4.129
52,159,3734,-14525,-51,-1529,782,921,-1454,1474,924,0.1820068359375,-0.420654296875,0.5736083984375,-0.67877197265625,4.129
53,159,4012,-15137,-157,-1463,483,579,-1376,1474,1002,0.1820068359375,-0.420166015625,0.5745849609375,-0.67822265625,4.129
54,159,3712,-15583,-251,-1090,169,-30,-1376,1474,1002,0.18194580078125,-0.419921875,0.5753173828125,-0.677734375,4.129
55,159,3923,-15668,-97,-931,-88,-716,-1454,1513,884,0.18170166015625,-0.4200439453125,0.57568359375,-0.67742919921875,4.129
56,159,4060,-15014,-409,-773,-284,-1158,-1454,1513,884,0.1812744140625,-0.42047119140625,0.5758056640625,-0.67718505859375,4.129
57,159,4191,-14435,-597,-397,-828,-1525,-1415,1474,924,0.18096923828125,-0.4212646484375,0.57568359375,-0.6768798828125,4.129
58,159,4026,-14393,-620,-521,-1147,-1741,-1415,1474,924,0.18072509765625,-0.42230224609375,0.575439453125,-0.67645263671875,4.129
59,159,4026,-14540,-428,-660,-1298,-1777,-1376,1474,1002,0.18048095703125,-0.4234619140625,0.5753173828125,-0.67596435546875,4.129
60,159,4147,-15282,25,-595,-1416,-1937,-1376,1474,1002,0.1802978515625,-0.424560546875,0.57501220703125,-0.67559814453125,4.129
61,159,4506,-16115,140,-496,-1383,-2013,-1376,1553,1002,0.18011474609375,-0.42572021484375,0.57464599609375,-0.67523193359375,4.129
62,159,5047,-16754,343,-166,-1433,-1831,-1376,1553,1002,0.18011474609375,-0.4267578125,0.5740966796875,-0.675048828125,4.129
63,159,5658,-17369,465,217,-1568,-1662,-1336,1395,924,0.18023681640625,-0.42779541015625,0.5733642578125,-0.67498779296875,4.129
64,159,5701,-17385,357,489,-1531,-1278,-1336,1395,924,0.1805419921875,-0.4287109375,0.57257080078125,-0.6749267578125,4.129
65,159,6064,-17293,-391,669,-1613,-1120,-1494,1435,884,0.180908203125,-0.42962646484375,0.57183837890625,-0.6749267578125,4.129
66,159,6696,-16846,-196,817,-1870,-892,-1494,1435,884,0.18133544921875,-0.43060302734375,0.57098388671875,-0.6749267578125,4.129
67,159,6923,-17053,-515,903,-2035,-959,-1454,1474,1002,0.181884765625,-0.4317626953125,0.570068359375,-0.6748046875,4.129
68,159,7287,-16571,-689,1019,-1864,-826,-1454,1474,1002,0.182373046875,-0.43280029296875,0.56915283203125,-0.67474365234375,4.129
69,159,7259,-16002,-804,800,-1492,-546,-1454,1513,1002,0.18280029296875,-0.4337158203125,0.5684814453125,-0.6746826171875,4.129
70,159,6981,-15681,-640,444,-868,-268,-1454,1513,1002,0.1829833984375,-0.4342041015625,0.56805419921875,-0.67462158203125,4.129
71,159,7361,-15068,472,-102,-136,264,-1376,1513,963,0.1829833984375,-0.43426513671875,0.56793212890625,-0.6746826171875,4.129
72,159,7221,-14367,1230,-556,369,902,-1376,1513,963,0.1829833984375,-0.433837890625,0.568115234375,-0.6748046875,4.129
73,159,7182,-13339,1686,-1043,703,1438,-1376,1435,1002,0.182861328125,-0.43316650390625,0.5684814453125,-0.6749267578125,4.129
74,159,6552,-13873,1591,-1293,819,1492,-1376,1435,1002,0.18280029296875,-0.43231201171875,0.56915283203125,-0.6749267578125,4.129
75,159,6682,-14582,972,-1439,860,1315,-1415,1435,1002,0.18255615234375,-0.43157958984375,0.5699462890625,-0.6748046875,4.129
76,159,6913,-15167,691,-1417,599,1019,-1415,1435,1002,0.18231201171875,-0.43109130859375,0.57073974609375,-0.674560546875,4.129
