ProgrNum,PacketType,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Q0,Q1,Q2,Q3,Vbat
0,159,-5443,-15089,3046,3,-323,129,1671,727,-1238,0.67877197265625,-0.63092041015625,-0.0927734375,0.36407470703125,4.191
1,159,-5419,-15108,3122,-3,-203,136,1789,806,-1042,0.70465087890625,-0.63421630859375,-0.04791259765625,0.31451416015625,4.191
2,159,-5489,-15269,3075,-22,-21,126,1789,806,-1042,0.70245361328125,-0.63592529296875,-0.04913330078125,0.31561279296875,4.191
3,159,-5492,-15341,3084,13,167,131,1513,1317,-845,0.706298828125,-0.63653564453125,-0.04193115234375,0.306640625,4.191
4,159,-5590,-15494,3081,-12,325,133,1513,1317,-845,0.70465087890625,-0.6373291015625,-0.04266357421875,0.30889892578125,4.191
5,159,-5610,-15526,3062,-2,446,146,1513,1277,-806,0.70843505859375,-0.63848876953125,-0.03338623046875,0.2987060546875,4.191
6,159,-5653,-15522,3134,-40,472,144,1513,1277,-806,0.71002197265625,-0.63702392578125,-0.03094482421875,0.29840087890625,4.191
7,159,-5792,-15559,3199,-125,476,139,1592,1277,-727,0.72344970703125,-0.63665771484375,0.0018310546875,0.266845703125,4.191
92,159,-5835,-15164,3285,125,283,-50,1513,1277,-727,0.73382568359375,-0.62493896484375,0.00628662109375,0.265869140625,4.191
93,159,-5869,-15287,3385,87,233,-83,1474,1317,-766,0.7337646484375,-0.62506103515625,0.00634765625,0.26580810546875,4.191
94,159,-5992,-15305,3406,12,139,-89,1474,1317,-766,0.73370361328125,-0.6251220703125,0.0064697265625,0.265869140625,4.191
95,159,-5990,-15428,3490,-63,58,-164,1513,1317,-806,0.73358154296875,-0.625244140625,0.00640869140625,0.265869140625,4.191
96,159,-6051,-15652,3507,-174,26,-216,1513,1317,-806,0.7335205078125,-0.6253662109375,0.0062255859375,0.26593017578125,4.191
97,159,-6028,-15896,3508,-237,29,-245,1553,1199,-688,0.7332763671875,-0.62567138671875,0.0062255859375,0.26568603515625,4.191
146,159,-5448,-14862,3640,-320,-298,-32,1474,1317,-727,0.73284912109375,-0.62353515625,-0.00079345703125,0.27197265625,4.191
