ProgrNum,PacketType,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Q0,Q1,Q2,Q3,Vbat
0,159,-3200,-16537,2666,627,81,-158,747,1789,-98,0.75299072265625,-0.61431884765625,0.210693359375,-0.10552978515625,4.198
1,159,-3308,-16434,2758,594,156,-199,747,1789,-98,0.753173828125,-0.6070556640625,0.2242431640625,-0.1177978515625,4.198
2,159,-3521,-16556,2880,605,207,-175,1258,1671,19,0.76177978515625,-0.61859130859375,0.18280029296875,-0.059326171875,4.198
3,159,-3712,-16630,2890,676,182,-110,1258,1671,19,0.76165771484375,-0.61712646484375,0.1883544921875,-0.0584716796875,4.198
4,159,-3918,-16619,3095,828,35,-40,1218,1710,176,0.755859375,-0.58880615234375,0.253173828125,-0.13330078125,4.198
5,159,-4208,-16266,3203,879,-109,17,1218,1710,176,0.75726318359375,-0.57708740234375,0.27069091796875,-0.1419677734375,4.198
6,159,-4238,-16063,3277,791,-337,86,1297,1631,19,0.76947021484375,-0.5972900390625,0.21539306640625,-0.0679931640625,4.198
92,159,-3737,-16153,2536,-268,1300,-44,1297,1710,98,0.76043701171875,-0.6270751953125,0.15850830078125,-0.05645751953125,4.198
93,159,-3997,-16245,2404,-156,1157,-24,1297,1710,98,0.7601318359375,-0.627197265625,0.15948486328125,-0.05670166015625,4.198
94,159,-4124,-16489,2562,71,1011,38,1258,1592,58,0.75994873046875,-0.62713623046875,0.160400390625,-0.05682373046875,4.198
95,159,-4127,-16462,2366,291,771,37,1258,1592,58,0.7598876953125,-0.62701416015625,0.16119384765625,-0.05682373046875,4.198
96,159,-4101,-16509,2522,445,503,-55,1258,1592,58,0.75994873046875,-0.6268310546875,0.16180419921875,-0.05682373046875,4.198
194,159,-3489,-15974,2792,296,-87,35,1336,1631,137,0.7630615234375,-0.6209716796875,0.169677734375,-0.056640625,4.198
195,159,-3379,-15945,2676,319,-197,24,1336,1631,137,0.7630615234375,-0.62091064453125,0.16973876953125,-0.05657958984375,4.198
196,159,-3427,-15741,2858,246,-191,-41,1258,1671,-19,0.76318359375,-0.62078857421875,0.169677734375,-0.05645751953125,4.198
197,159,-3449,-15582,2833,140,-122,-82,1258,1671,-19,0.7633056640625,-0.62066650390625,0.16973876953125,-0.05633544921875,4.198
198,159,-3627,-15513,2679,72,-160,-159,1218,1631,58,0.76324462890625,-0.62066650390625,0.1697998046875,-0.05621337890625,4.198
199,159,-3936,-15356,2772,-8,-252,-118,1218,1631,58,0.76324462890625,-0.6207275390625,0.16998291015625,-0.05596923828125,4.198
200,159,-4006,-15433,2825,-121,-336,-43,1258,1631,-19,0.76324462890625,-0.62066650390625,0.170166015625,-0.0555419921875,4.198
201,159,-3940,-15810,3010,-108,-416,15,1258,1631,-19,0.7633056640625,-0.62060546875,0.17022705078125,-0.05511474609375,4.198
202,159,-3752,-16067,3078,-62,-564,18,1218,1592,58,0.76336669921875,-0.62060546875,0.170166015625,-0.05474853515625,4.198
