ProgrNum,PacketType,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Q0,Q1,Q2,Q3,Vbat
0,159,-5391,-14883,4107,-210,241,-221,1395,1317,-1042,0.70562744140625,-0.60736083984375,-0.07391357421875,0.35723876953125,4.197
1,159,-5454,-14964,4128,-246,188,-195,1395,1317,-1042,0.704833984375,-0.60748291015625,-0.07391357421875,0.35858154296875,4.197
2,159,-5404,-15102,4199,-184,134,-130,1356,1238,-963,0.71478271484375,-0.60791015625,-0.06121826171875,0.340087890625,4.197
3,159,-5389,-15051,4148,-106,85,-66,1356,1238,-963,0.71356201171875,-0.60870361328125,-0.06231689453125,0.34112548828125,4.197
4,159,-5346,-14890,4222,-36,74,4,1356,1277,-924,0.722900390625,-0.60723876953125,-0.04803466796875,0.32598876953125,4.197
5,159,-5173,-14664,4259,-43,84,52,1356,1277,-924,0.72796630859375,-0.6048583984375,-0.045166015625,0.319580078125,4.197
90,159,-5818,-15255,3321,59,-642,-150,1435,1356,-845,0.7098388671875,-0.62237548828125,-0.04534912109375,0.32647705078125,4.197
91,159,-5778,-15414,3507,2,-648,-78,1435,1356,-845,0.709716796875,-0.62237548828125,-0.045654296875,0.32659912109375,4.197
92,159,-5657,-15442,3221,-26,-611,18,1435,1159,-845,0.70947265625,-0.62261962890625,-0.04595947265625,0.32666015625,4.197
93,159,-5665,-15438,3237,43,-555,93,1435,1159,-845,0.709228515625,-0.622802734375,-0.04620361328125,0.3267822265625,4.197
94,159,-5665,-15346,3300,74,-519,248,1513,1317,-845,0.70904541015625,-0.6229248046875,-0.0462646484375,0.326904296875,4.197
95,159,-5673,-15237,3438,77,-460,326,1513,1317,-845,0.7088623046875,-0.623046875,-0.0462646484375,0.32708740234375,4.197
96,159,-5645,-15209,3465,29,-395,372,1435,1238,-845,0.70867919921875,-0.6231689453125,-0.0462646484375,0.32733154296875,4.197
195,159,-5447,-15064,3914,-753,162,-93,1356,1317,-884,0.7105712890625,-0.616943359375,-0.06085205078125,0.33258056640625,4.197
196,159,-5428,-15072,3859,-864,114,-17,1317,1277,-924,0.710205078125,-0.6173095703125,-0.06097412109375,0.33258056640625,4.197
197,159,-5551,-15122,3872,-913,3,128,1317,1277,-924,0.7098388671875,-0.61767578125,-0.06109619140625,0.332763671875,4.197
198,159,-5525,-15241,3936,-828,-155,299,1474,1277,-963,0.70941162109375,-0.6180419921875,-0.06109619140625,0.33294677734375,4.197
199,159,-5466,-15177,3883,-792,-324,477,1474,1277,-963,0.708984375,-0.61834716796875,-0.06109619140625,0.33331298828125,4.197
200,159,-5407,-15088,3922,-775,-492,609,1395,1277,-884,0.70855712890625,-0.61859130859375,-0.06109619140625,0.333740234375,4.197
201,159,-5283,-15151,3806,-714,-576,696,1395,1277,-884,0.70806884765625,-0.618896484375,-0.06121826171875,0.3341064453125,4.197
202,159,-5203,-15126,3892,-664,-618,788,1317,1317,-924,0.707763671875,-0.61895751953125,-0.06146240234375,0.33465576171875,4.197
203,159,-5179,-15210,3829,-537,-651,842,1317,1317,-924,0.7073974609375,-0.6190185546875,-0.061767578125,0.33526611328125,4.197
204,159,-5127,-15141,3852,-442,-652,885,1317,1317,-924,0.70709228515625,-0.6190185546875,-0.06201171875,0.3358154296875,4.197
205,159,-5051,-15064,3954,-326,-594,947,1317,1317,-924,0.7069091796875,-0.618896484375,-0.0621337890625,0.33636474609375,4.197
206,159,-4969,-14995,3865,-260,-435,939,1317,1277,-963,0.706787109375,-0.6187744140625,-0.0623779296875,0.3369140625,4.197
207,159,-4916,-15054,3972,-197,-228,903,1317,1277,-963,0.7066650390625,-0.61865234375,-0.0625,0.3372802734375,4.197
208,159,-4923,-15026,4035,-150,22,824,1356,1277,-924,0.7066650390625,-0.61859130859375,-0.0623779296875,0.33746337890625,4.197
209,159,-4952,-15111,3850,-110,241,767,1356,1277,-924,0.70660400390625,-0.61865234375,-0.062255859375,0.3375244140625,4.197
210,159,-4991,-15107,3925,-59,416,682,1356,1356,-924,0.70660400390625,-0.61865234375,-0.06201171875,0.3375244140625,4.197
211,159,-5026,-15252,3863,-44,660,620,1356,1356,-924,0.70660400390625,-0.61883544921875,-0.061767578125,0.33734130859375,4.197
212,159,-5016,-15192,3748,24,804,580,1395,1317,-963,0.70660400390625,-0.61895751953125,-0.0614013671875,0.33709716796875,4.197
213,159,-5117,-15134,3689,105,903,508,1395,1317,-963,0.70660400390625,-0.619140625,-0.06103515625,0.33685302734375,4.197
214,159,-5218,-15107,3643,126,894,490,1395,1356,-963,0.70660400390625,-0.61932373046875,-0.060546875,0.33660888671875,4.197
215,159,-5238,-15003,3726,73,859,426,1395,1356,-963,0.70660400390625,-0.61944580078125,-0.06011962890625,0.33642578125,4.197
216,159,-5373,-15061,3707,7,843,343,1395,1277,-924,0.70660400390625,-0.61968994140625,-0.05963134765625,0.336181640625,4.197
217,159,-5365,-15105,3656,-23,760,286,1395,1277,-924,0.70654296875,-0.619873046875,-0.05926513671875,0.3359375,4.197
218,159,-5344,-15128,3755,9,677,250,1395,1238,-924,0.70654296875,-0.62005615234375,-0.0589599609375,0.335693359375,4.197
219,159,-5345,-15084,3707,-24,617,202,1395,1238,-924,0.70654296875,-0.62017822265625,-0.05865478515625,0.33544921875,4.197
220,159,-5328,-15060,3806,-84,554,162,1435,1238,-963,0.70654296875,-0.62030029296875,-0.0584716796875,0.33526611328125,4.197
221,159,-5349,-15056,3739,-141,447,96,1435,1238,-963,0.70654296875,-0.62042236328125,-0.058349609375,0.3350830078125,4.197
222,159,-5405,-15117,3712,-284,379,38,1395,1277,-924,0.7064208984375,-0.62060546875,-0.05828857421875,0.33489990234375,4.197
223,159,-5513,-15269,3817,-373,264,1,1395,1277,-924,0.70635986328125,-0.62078857421875,-0.05828857421875,0.33477783203125,4.197
224,159,-5556,-15277,3928,-413,174,8,1317,1317,-924,0.706298828125,-0.620849609375,-0.058349609375,0.33477783203125,4.197
225,159,-5556,-15361,3881,-457,-19,-2,1317,1317,-924,0.7061767578125,-0.6209716796875,-0.05853271484375,0.3348388671875,4.197
226,159,-5491,-15428,3920,-502,-105,12,1395,1238,-924,0.7060546875,-0.62109375,-0.0587158203125,0.3348388671875,4.197
227,159,-5515,-15405,3916,-539,-151,28,1395,1238,-924,0.7059326171875,-0.6212158203125,-0.0589599609375,0.33489990234375,4.197
228,159,-5491,-15448,3893,-567,-242,28,1395,1238,-963,0.70574951171875,-0.62127685546875,-0.059326171875,0.33502197265625,4.197
229,159,-5458,-15420,3979,-543,-304,76,1395,1238,-963,0.70562744140625,-0.62127685546875,-0.05963134765625,0.33514404296875,4.197
230,159,-5476,-15240,4034,-477,-422,121,1356,1238,-845,0.70550537109375,-0.621337890625,-0.05975341796875,0.3353271484375,4.197
231,159,-5523,-15248,4114,-523,-535,148,1356,1238,-845,0.70538330078125,-0.62127685546875,-0.0599365234375,0.3355712890625,4.197
232,159,-5488,-15188,4026,-513,-685,191,1395,1277,-884,0.70526123046875,-0.62127685546875,-0.0601806640625,0.33587646484375,4.197
233,159,-5461,-15152,4054,-493,-803,205,1395,1277,-884,0.70513916015625,-0.6212158203125,-0.0604248046875,0.33624267578125,4.197
234,159,-5445,-15188,3978,-509,-894,206,1474,1317,-1002,0.7049560546875,-0.62103271484375,-0.0609130859375,0.33673095703125,4.197
235,159,-5404,-15255,3990,-502,-988,183,1474,1317,-1002,0.704833984375,-0.62091064453125,-0.06146240234375,0.33721923828125,4.197
236,159,-5424,-15279,3990,-457,-1135,154,1395,1395,-884,0.7047119140625,-0.62078857421875,-0.06195068359375,0.337646484375,4.197
237,159,-5407,-15235,4133,-418,-1236,147,1395,1395,-884,0.70458984375,-0.62054443359375,-0.0625,0.338134765625,4.197
238,159,-5393,-15071,4128,-326,-1303,102,1435,1277,-924,0.70458984375,-0.6202392578125,-0.06298828125,0.33868408203125,4.197
239,159,-5232,-14841,4157,-290,-1365,35,1435,1277,-924,0.70465087890625,-0.61981201171875,-0.06353759765625,0.33917236328125,4.197
240,159,-5201,-14777,4129,-308,-1352,-8,1317,1356,-924,0.7047119140625,-0.619384765625,-0.06427001953125,0.33978271484375,4.197
241,159,-5198,-14798,3990,-339,-1282,-59,1317,1356,-924,0.7047119140625,-0.6190185546875,-0.06500244140625,0.34027099609375,4.197
242,159,-5082,-14861,3937,-228,-1132,-93,1356,1277,-963,0.70477294921875,-0.61871337890625,-0.0657958984375,0.34063720703125,4.197
