ProgrNum,PacketType,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Q0,Q1,Q2,Q3,Vbat
0,159,2115,-12733,352,-585,2800,754,589,1946,-137,0.71624755859375,-0.69140625,-0.09100341796875,-0.024169921875,4.178
1,159,1618,-13603,685,-597,2695,467,668,1867,-58,0.722412109375,-0.68853759765625,-0.02911376953125,-0.0550537109375,4.178
2,159,1454,-14198,814,-651,2210,154,668,1867,-58,0.724853515625,-0.6864013671875,-0.01776123046875,-0.0552978515625,4.178
3,159,1758,-14690,699,-668,1848,-100,432,1867,-176,0.72357177734375,-0.68438720703125,-0.08905029296875,0.00738525390625,4.178
4,159,2187,-14849,629,-637,1651,-287,432,1867,-176,0.72174072265625,-0.684814453125,-0.10028076171875,-0.00054931640625,4.178
5,159,2607,-14854,1048,-640,1560,-518,353,1946,-216,0.73095703125,-0.6744384765625,-0.1019287109375,-0.01727294921875,4.178
6,159,2765,-14636,1153,-886,1557,-714,353,1946,-216,0.73321533203125,-0.672119140625,-0.097900390625,-0.03082275390625,4.178
7,159,2769,-14835,1298,-1169,1843,-849,393,1907,-176,0.73455810546875,-0.6722412109375,-0.072265625,-0.0570068359375,4.178
92,159,3448,-17149,1367,-1562,129,-1773,471,1985,-176,0.6986083984375,-0.679931640625,-0.21160888671875,0.06817626953125,4.178
93,159,3852,-17824,1065,-1764,-465,-2474,432,1907,-176,0.6981201171875,-0.68017578125,-0.2127685546875,0.06695556640625,4.178
94,159,4081,-18591,1085,-1757,-1001,-2764,432,1907,-176,0.69757080078125,-0.680419921875,-0.21435546875,0.0657958984375,4.178
95,159,3447,-18504,125,-2665,-971,-2963,393,1907,-216,0.6964111328125,-0.68115234375,-0.21600341796875,0.06463623046875,4.178
96,159,3011,-18514,13,-1953,-1122,-2872,393,1907,-216,0.69549560546875,-0.68170166015625,-0.21746826171875,0.0638427734375,4.178
194,159,3104,-14002,-918,852,991,498,275,1985,-176,0.6917724609375,-0.68505859375,-0.22259521484375,0.04888916015625,4.126
195,159,3400,-14309,-783,995,1117,614,314,1867,-98,0.692138671875,-0.68499755859375,-0.22174072265625,0.048828125,4.126
196,159,3496,-14145,-215,917,1031,547,314,1867,-98,0.692626953125,-0.68475341796875,-0.22088623046875,0.0487060546875,4.126
197,159,3192,-14145,-292,976,1275,546,314,1907,-98,0.69317626953125,-0.6845703125,-0.21990966796875,0.048583984375,4.126
222,159,4022,-15266,-1244,745,-591,-201,275,1907,-137,0.68939208984375,-0.68560791015625,-0.2269287109375,0.05523681640625,4.126
223,159,3860,-15137,-1256,786,-427,-79,314,1946,-98,0.68939208984375,-0.68548583984375,-0.22711181640625,0.055419921875,4.126
224,159,3948,-14887,-967,693,-201,0,314,1946,-98,0.689453125,-0.68536376953125,-0.22723388671875,0.05548095703125,4.126
225,159,3781,-15095,-741,756,67,143,275,1867,-137,0.689697265625,-0.6851806640625,-0.22711181640625,0.0555419921875,4.126
226,159,3905,-14941,-588,649,292,294,275,1867,-137,0.68994140625,-0.68499755859375,-0.22686767578125,0.0555419921875,4.126
227,159,3884,-14500,-216,557,469,429,196,1946,-137,0.6903076171875,-0.68475341796875,-0.2264404296875,0.05548095703125,4.126
228,159,3813,-14420,7,475,661,608,196,1946,-137,0.69073486328125,-0.6845703125,-0.22589111328125,0.055419921875,4.126
229,159,3704,-14289,50,412,803,709,275,1946,-176,0.691162109375,-0.68438720703125,-0.22515869140625,0.05535888671875,4.126
230,159,3561,-14445,272,403,812,774,275,1946,-176,0.691650390625,-0.68414306640625,-0.22430419921875,0.055419921875,4.126
231,159,3404,-14690,279,267,748,812,353,1946,-176,0.6920166015625,-0.68408203125,-0.223388671875,0.05548095703125,4.126
232,159,3411,-15232,342,112,735,778,353,1946,-176,0.69232177734375,-0.68402099609375,-0.22247314453125,0.05560302734375,4.126
233,159,3655,-15530,820,7,617,616,275,1907,-216,0.69281005859375,-0.68377685546875,-0.22174072265625,0.0556640625,4.126
234,159,3687,-16152,872,-15,549,455,275,1907,-216,0.69329833984375,-0.6834716796875,-0.22100830078125,0.0556640625,4.126
235,159,3582,-16420,879,-102,517,256,314,2025,-216,0.6937255859375,-0.68328857421875,-0.22039794921875,0.0556640625,4.126
236,159,3687,-16441,555,-158,305,161,314,2025,-216,0.6939697265625,-0.68316650390625,-0.219970703125,0.0556640625,4.126
237,159,3414,-16437,414,-206,16,48,353,1985,-176,0.694091796875,-0.68316650390625,-0.21966552734375,0.0557861328125,4.126
238,159,3003,-16363,206,-354,-269,63,353,1985,-176,0.6939697265625,-0.683349609375,-0.21942138671875,0.05615234375,4.126
