ProgrNum,PacketType,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Q0,Q1,Q2,Q3,Vbat
0,159,713,16824,3046,-3435,-4795,-3120,-1317,-1671,255,0.1446533203125,0.14739990234375,0.6239013671875,0.753662109375,4.169
1,159,1262,16679,3112,-3985,-5377,-4006,-1317,-1789,412,0.18707275390625,0.20184326171875,0.6064453125,0.74591064453125,4.169
2,159,1952,16645,2926,-4506,-5528,-4835,-1317,-1789,412,0.17999267578125,0.22308349609375,0.60345458984375,0.7440185546875,4.169
3,159,2634,16633,2871,-5008,-5184,-5651,-1081,-1789,-452,0.117431640625,-0.00177001953125,-0.6448974609375,-0.755126953125,4.169
4,159,3172,16650,2770,-5578,-4380,-6404,-1081,-1789,-452,0.13836669921875,-0.00360107421875,-0.64752197265625,-0.749267578125,4.169
5,159,3660,16719,2574,-6119,-3300,-7102,-1159,-1789,-491,0.17364501953125,0.01019287109375,-0.65228271484375,-0.7376708984375,4.169
90,159,-4659,22925,8519,-6063,3438,-7058,-806,-1946,-688,0.5321044921875,0.39990234375,-0.5574951171875,-0.49578857421875,4.169
91,159,-3281,22168,7222,-7989,2176,-7002,-688,-2103,-688,0.5325927734375,0.400634765625,-0.55108642578125,-0.5018310546875,4.169
92,159,-2773,21083,6460,-10137,701,-5933,-688,-2103,-688,0.5333251953125,0.3997802734375,-0.54473876953125,-0.50860595703125,4.169
93,159,-1480,21306,4253,-10256,410,-7052,-609,-2025,-688,0.53338623046875,0.3992919921875,-0.53851318359375,-0.51556396484375,4.169
94,159,1672,19871,5592,-11199,289,-6692,-609,-2025,-688,0.53460693359375,0.39727783203125,-0.53204345703125,-0.52252197265625,4.169
95,159,828,20592,3085,-13637,296,-5517,-727,-2025,-766,0.53607177734375,0.3946533203125,-0.52587890625,-0.529296875,4.169
96,159,3311,19314,2358,-14487,910,-5859,-727,-2025,-766,0.5380859375,0.39166259765625,-0.51953125,-0.53570556640625,4.169
194,159,814,14282,4886,-7625,4266,-5703,176,-1828,-1238,0.5718994140625,0.49554443359375,-0.2950439453125,-0.5831298828125,4.123
195,159,737,13633,3962,-7239,6696,-5437,255,-1946,-1277,0.573974609375,0.495849609375,-0.2894287109375,-0.58367919921875,4.123
196,159,138,13098,2948,-6839,8593,-4794,255,-1946,-1277,0.5762939453125,0.49713134765625,-0.2833251953125,-0.58331298828125,4.123
197,159,-2721,12924,2532,-7046,8077,-4120,294,-1867,-1317,0.57830810546875,0.49859619140625,-0.27728271484375,-0.5830078125,4.123
198,159,-3100,12587,2181,-6707,6140,-3475,294,-1867,-1317,0.58001708984375,0.4993896484375,-0.27215576171875,-0.5830078125,4.123
199,159,-2450,13468,2808,-6118,4179,-3367,373,-1749,-1395,0.5814208984375,0.49945068359375,-0.2681884765625,-0.58343505859375,4.123
200,159,-2033,13948,3519,-6937,2561,-2648,373,-1749,-1395,0.58319091796875,0.49822998046875,-0.26483154296875,-0.584228515625,4.123
201,159,-2955,13801,3363,-7304,298,-1918,452,-1789,-1317,0.58477783203125,0.4962158203125,-0.26226806640625,-0.5855712890625,4.123
202,159,-2090,13227,3388,-7105,-1639,-1544,452,-1789,-1317,0.58624267578125,0.49322509765625,-0.26068115234375,-0.5872802734375,4.123
203,159,-397,12627,3423,-6766,-2204,-1076,412,-1789,-1395,0.58795166015625,0.48980712890625,-0.2598876953125,-0.5888671875,4.123
204,159,-230,11896,2909,-6486,-1901,-518,412,-1789,-1395,0.5897216796875,0.486572265625,-0.25921630859375,-0.59002685546875,4.123
205,159,-605,10696,2660,-6170,-1337,109,373,-1671,-1435,0.59161376953125,0.48358154296875,-0.25860595703125,-0.5908203125,4.123
206,159,-2051,10030,2139,-5557,-626,657,373,-1671,-1435,0.59332275390625,0.48150634765625,-0.25787353515625,-0.59112548828125,4.123
207,159,-3369,9836,2246,-4765,-132,958,373,-1631,-1435,0.59466552734375,0.48016357421875,-0.2569580078125,-0.59124755859375,4.123
208,159,-4519,9803,2203,-4154,367,1201,373,-1631,-1435,0.5958251953125,0.4793701171875,-0.25579833984375,-0.5911865234375,4.123
209,159,-6736,10001,1969,-3545,10,1494,334,-1710,-1474,0.5966796875,0.47882080078125,-0.2547607421875,-0.5911865234375,4.123
210,159,-8706,10707,3022,-3289,-1700,1468,334,-1710,-1474,0.59710693359375,0.477783203125,-0.25408935546875,-0.59185791015625,4.123
211,159,-9078,11347,4125,-3217,-3302,1130,412,-1671,-1474,0.59710693359375,0.47613525390625,-0.2537841796875,-0.59332275390625,4.123
212,159,-9667,12438,5622,-3639,-4857,1028,412,-1671,-1474,0.596923828125,0.47357177734375,-0.253662109375,-0.59552001953125,4.123
213,159,-9546,13559,7487,-4668,-6232,759,334,-1671,-1513,0.5968017578125,0.4698486328125,-0.25360107421875,-0.5986328125,4.123
214,159,-8289,13521,8202,-5429,-6953,595,334,-1671,-1513,0.596923828125,0.46514892578125,-0.25341796875,-0.602294921875,4.123
215,159,-7111,13177,8635,-5607,-6513,743,294,-1631,-1474,0.597412109375,0.4600830078125,-0.25323486328125,-0.60577392578125,4.123
216,159,-5913,12459,8553,-5238,-5125,660,294,-1631,-1474,0.5982666015625,0.45526123046875,-0.25274658203125,-0.6087646484375,4.123
217,159,-6168,11960,8403,-4656,-3538,390,373,-1671,-1513,0.59893798828125,0.45166015625,-0.25146484375,-0.611328125,4.123
218,159,-6863,11864,8229,-4073,-2225,-117,373,-1671,-1513,0.5992431640625,0.44927978515625,-0.24957275390625,-0.613525390625,4.123
219,159,-6143,10569,8048,-3900,-628,253,255,-1631,-1474,0.60003662109375,0.4471435546875,-0.2474365234375,-0.615234375,4.123
220,159,-7452,11489,7234,-2213,347,-1234,255,-1631,-1474,0.59942626953125,0.44720458984375,-0.24530029296875,-0.6165771484375,4.123
221,159,-6143,10659,7722,-1985,1305,-1737,294,-1435,-1592,0.5989990234375,0.447021484375,-0.24267578125,-0.6181640625,4.123
222,159,-7539,11122,6808,-1546,1820,-1773,294,-1435,-1592,0.59814453125,0.4481201171875,-0.24005126953125,-0.6192626953125,4.123
223,159,-6432,11216,7113,-1234,1816,-2278,294,-1631,-1553,0.59716796875,0.4490966796875,-0.23779296875,-0.620361328125,4.123
224,159,-5995,11656,7820,-1326,1671,-2323,294,-1631,-1553,0.596435546875,0.449462890625,-0.2357177734375,-0.62164306640625,4.123
225,159,-5300,11720,7923,-1798,1436,-2179,294,-1592,-1592,0.5960693359375,0.44915771484375,-0.23382568359375,-0.62298583984375,4.123
226,159,-4700,11798,7734,-2106,1448,-2352,294,-1592,-1592,0.595947265625,0.4486083984375,-0.23211669921875,-0.6241455078125,4.123
227,159,-4530,11694,7399,-2399,1519,-2136,294,-1592,-1592,0.595947265625,0.4481201171875,-0.23046875,-0.6251220703125,4.123
228,159,-4539,11348,6842,-2530,1706,-1731,294,-1592,-1592,0.59600830078125,0.4478759765625,-0.2288818359375,-0.62579345703125,4.123
