ProgrNum,PacketType,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Q0,Q1,Q2,Q3,Vbat
0,159,-2039,-16252,-3324,1312,-42,962,-1022,1317,1238,0.251708984375,-0.21710205078125,0.7431640625,-0.58062744140625,4.132
1,159,-2458,-16369,-3416,1517,-5,1078,-1022,1317,1238,0.25506591796875,-0.2042236328125,0.74786376953125,-0.57781982421875,4.132
2,159,-3035,-16029,-3584,1731,-297,880,-432,2182,373,0.02923583984375,0.1090087890625,0.7716064453125,-0.62591552734375,4.132
3,159,-3245,-16157,-3187,1717,-671,751,-432,2182,373,0.05426025390625,0.0867919921875,0.76641845703125,-0.63409423828125,4.132
4,159,-3214,-16311,-3023,1614,-1114,663,-432,2143,294,0.03521728515625,0.10675048828125,0.76025390625,-0.63970947265625,4.132
5,159,-3278,-16571,-2937,1738,-1599,647,-432,2143,294,0.04168701171875,0.09954833984375,0.75872802734375,-0.642333984375,4.132
6,159,-2953,-16759,-2978,1867,-1803,674,-314,2143,216,0.00970458984375,-0.1441650390625,-0.75189208984375,0.64312744140625,4.132
91,159,3407,-15811,-1837,-10863,-8284,-6525,-825,1867,766,0.093017578125,-0.13714599609375,0.77398681640625,-0.61090087890625,4.132
92,159,1010,-15301,-3527,-11369,-6730,-5278,-943,1985,924,0.09320068359375,-0.14324951171875,0.777587890625,-0.60491943359375,4.132
93,159,-887,-14354,-3653,-13359,-5907,-4893,-943,1985,924,0.09332275390625,-0.14862060546875,0.78204345703125,-0.597900390625,4.132
94,159,-3249,-16576,-5955,-14427,-5962,-4785,-1022,2025,1002,0.0936279296875,-0.15380859375,0.7869873046875,-0.5899658203125,4.132
95,159,-4390,-16581,-8812,-14946,-6599,-4423,-1022,2025,1002,0.0943603515625,-0.1590576171875,0.792236328125,-0.58135986328125,4.132
96,159,-4405,-15779,-9383,-16420,-7931,-4089,-943,1867,1002,0.095703125,-0.16473388671875,0.7979736328125,-0.5716552734375,4.132
97,159,-8618,-17365,-16740,-18590,-9462,-4224,-943,1867,1002,0.09759521484375,-0.171142578125,0.80438232421875,-0.56036376953125,4.132
194,159,15294,11460,2302,-751,-1135,-2161,-668,-2064,-688,-0.00311279296875,-0.16571044921875,0.70660400390625,0.687744140625,4.132
195,159,7660,13885,14280,-2320,1309,-2202,-668,-2064,-688,-0.00347900390625,-0.166748046875,0.704833984375,0.6893310546875,4.132
196,159,777,16449,16457,-2359,7812,-1186,-668,-2143,-688,-0.00701904296875,-0.17047119140625,0.70294189453125,0.6903076171875,4.132
