ProgrNum,PacketType,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Q0,Q1,Q2,Q3,Vbat
0,159,-2493,-10658,10404,144,-108,711,1159,1317,-1120,0.91839599609375,-0.3807373046875,0.10260009765625,-0.0306396484375,4.137
1,159,-2655,-9814,10050,94,154,861,1159,1356,-1081,0.91900634765625,-0.36138916015625,0.1336669921875,-0.0830078125,4.137
2,159,-2852,-9022,10061,216,330,686,1159,1356,-1081,0.92095947265625,-0.3328857421875,0.1578369140625,-0.1265869140625,4.137
3,159,-2860,-8060,9966,156,499,490,98,648,-1985,0.48065185546875,-0.26739501953125,-0.221435546875,0.80523681640625,4.137
4,159,-2974,-7278,9921,-190,303,296,98,648,-1985,0.4425048828125,-0.25250244140625,-0.21063232421875,0.834228515625,4.137
5,159,-2890,-7114,9781,-962,159,-135,98,688,-1946,0.427978515625,-0.24664306640625,-0.21417236328125,0.8426513671875,4.137
6,159,-2937,-7693,9153,-1681,-36,-515,98,688,-1946,0.4541015625,-0.27435302734375,-0.230224609375,0.81573486328125,4.137
92,159,-3745,-11015,12932,-2308,-2027,3393,412,766,-1907,0.5352783203125,-0.38836669921875,-0.2293701171875,0.7139892578125,4.137
93,159,-3076,-11183,12945,-2715,-3209,3077,491,727,-1749,0.5333251953125,-0.386962890625,-0.2305908203125,0.71575927734375,4.137
94,159,-2436,-10331,13367,-1730,-3123,2856,491,727,-1749,0.53167724609375,-0.38525390625,-0.23138427734375,0.7176513671875,4.137
95,159,-1952,-8189,13183,-517,-1977,2495,491,884,-1789,0.5306396484375,-0.3836669921875,-0.23126220703125,0.7193603515625,4.137
96,159,-1741,-5511,12429,431,-480,1914,491,884,-1789,0.53021240234375,-0.3824462890625,-0.2301025390625,0.720703125,4.137
196,159,-8315,-9918,2000,-1584,-1113,7138,884,727,-1749,0.5306396484375,-0.454345703125,-0.1312255859375,0.7032470703125,4.137
197,159,-8979,-10852,1979,-269,-1260,6064,1002,766,-1749,0.5272216796875,-0.45562744140625,-0.13018798828125,0.70513916015625,4.137
198,159,-7166,-10675,3036,667,-1648,4327,1002,766,-1749,0.5250244140625,-0.45611572265625,-0.12969970703125,0.70654296875,4.137
199,159,-5093,-10862,6490,858,-1782,3441,1002,766,-1828,0.52398681640625,-0.45556640625,-0.1302490234375,0.70758056640625,4.137
