ProgrNum,PacketType,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Q0,Q1,Q2,Q3,Vbat
0,159,8145,-2817,17143,-1696,-2201,944,-688,1710,-353,0.5960693359375,-0.21856689453125,-0.073974609375,-0.76898193359375,4.142
1,159,6917,-4064,16330,-825,-2235,691,-688,1710,-353,0.59112548828125,-0.22467041015625,-0.02728271484375,-0.77410888671875,4.142
2,159,7187,-4649,16248,-496,-2730,679,-58,-176,-1769,0.89788818359375,-0.0439453125,-0.2359619140625,0.36895751953125,4.142
3,159,8115,-3272,16769,-399,-3062,609,-58,-176,-1769,0.92718505859375,-0.019287109375,-0.2373046875,0.2889404296875,4.142
4,159,8741,-652,16003,-284,-3100,453,-137,-216,-1848,0.95343017578125,0.02557373046875,-0.24658203125,0.17144775390625,4.142
5,159,9215,2560,14792,-332,-3056,374,-137,-216,-1848,0.95849609375,0.06610107421875,-0.27520751953125,-0.03369140625,4.142
90,159,10145,-1630,14200,-711,-153,726,-294,-58,-1769,0.954833984375,0.03582763671875,-0.29364013671875,-0.02197265625,4.142
91,159,10541,-1488,13972,-548,-130,567,-294,-58,-1769,0.95477294921875,0.033935546875,-0.29425048828125,-0.02117919921875,4.142
92,159,10762,-1605,13939,-396,-90,309,-255,-98,-1769,0.95465087890625,0.03228759765625,-0.29486083984375,-0.0205078125,4.142
93,159,11119,-1782,14227,10,105,-78,-255,-98,-1769,0.95452880859375,0.03094482421875,-0.29541015625,-0.02001953125,4.142
94,159,10941,-1770,14483,462,399,-403,-216,-58,-1848,0.9544677734375,0.0299072265625,-0.295654296875,-0.01959228515625,4.142
95,159,10089,-1986,14152,932,637,-693,-216,-58,-1848,0.95458984375,0.029052734375,-0.29547119140625,-0.01922607421875,4.142
96,159,9091,-1107,13782,1244,734,-885,-176,-58,-1808,0.95477294921875,0.02862548828125,-0.29486083984375,-0.0189208984375,4.142
97,159,7938,249,13378,1270,619,-993,-176,-58,-1808,0.9552001953125,0.02899169921875,-0.2935791015625,-0.01904296875,4.142
194,159,5669,2526,14336,-51,-119,-14,-19,-98,-1769,0.970947265625,0.01849365234375,-0.237060546875,-0.02130126953125,4.142
195,159,5661,2830,14381,-255,-330,110,-19,-98,-1769,0.97113037109375,0.01971435546875,-0.23614501953125,-0.02166748046875,4.142
196,159,5700,3230,14370,-490,-453,212,58,-58,-1848,0.97125244140625,0.02081298828125,-0.2354736328125,-0.02215576171875,4.142
197,159,5669,3121,14276,-682,-646,279,58,-58,-1848,0.97137451171875,0.02178955078125,-0.23486328125,-0.02264404296875,4.142
294,159,7508,2439,14257,-165,120,71,-98,-176,-1926,0.966796875,0.0418701171875,-0.24932861328125,-0.03424072265625,4.142
295,159,7913,1859,14456,-175,82,78,-98,-176,-1926,0.96685791015625,0.04205322265625,-0.249267578125,-0.0341796875,4.142
296,159,8341,1177,14437,-226,83,164,-137,-137,-1769,0.966796875,0.0416259765625,-0.24957275390625,-0.03387451171875,4.142
297,159,8661,546,14403,-243,175,173,-137,-137,-1769,0.96673583984375,0.04083251953125,-0.25,-0.0333251953125,4.142
334,159,7827,1605,14360,-648,-374,368,-58,-98,-1848,0.96875,0.04205322265625,-0.24151611328125,-0.03558349609375,4.142
335,159,7872,1223,14334,-638,-323,356,-58,-98,-1848,0.96868896484375,0.041259765625,-0.241943359375,-0.035400390625,4.142
336,159,7963,887,14244,-589,-315,343,-98,-137,-1848,0.96856689453125,0.0404052734375,-0.24249267578125,-0.03485107421875,4.142
337,159,8214,619,14248,-536,-246,311,-98,-137,-1848,0.968505859375,0.03948974609375,-0.2431640625,-0.0343017578125,4.142
338,159,8269,484,14312,-466,-175,248,-19,-58,-1887,0.9683837890625,0.038330078125,-0.2437744140625,-0.033935546875,4.142
339,159,8027,585,14246,-418,-116,193,-19,-58,-1887,0.96832275390625,0.037353515625,-0.244140625,-0.03369140625,4.142
340,159,8076,646,14388,-374,-69,146,-58,-58,-1848,0.96832275390625,0.03643798828125,-0.2445068359375,-0.033447265625,4.142
341,159,8004,771,14543,-290,-31,103,-58,-58,-1848,0.96826171875,0.03570556640625,-0.24468994140625,-0.03326416015625,4.142
342,159,8018,742,14396,-226,22,56,-137,-176,-1887,0.96826171875,0.03533935546875,-0.24493408203125,-0.03271484375,4.142
343,159,8026,1101,14405,-130,123,-7,-137,-176,-1887,0.96826171875,0.0352783203125,-0.24505615234375,-0.0323486328125,4.142
344,159,8016,1208,14353,-122,159,-32,-58,-98,-1848,0.96820068359375,0.03509521484375,-0.24517822265625,-0.03228759765625,4.142
345,159,7709,1558,14115,-103,186,-17,-58,-98,-1848,0.96820068359375,0.03515625,-0.24517822265625,-0.03240966796875,4.142
346,159,7466,2065,13986,-231,146,62,-98,-176,-1848,0.96820068359375,0.03570556640625,-0.24505615234375,-0.03253173828125,4.142
347,159,7222,2317,13919,-347,65,146,-98,-176,-1848,0.96826171875,0.03631591796875,-0.244873046875,-0.03271484375,4.142
348,159,6995,2695,14038,-457,-5,222,-137,-58,-1808,0.96826171875,0.03662109375,-0.2445068359375,-0.03338623046875,4.142
349,159,6974,3074,14043,-591,-53,279,-137,-58,-1808,0.96826171875,0.03717041015625,-0.2442626953125,-0.03411865234375,4.109
350,159,6908,3003,14196,-803,-26,348,-58,-58,-1848,0.96832275390625,0.0374755859375,-0.24383544921875,-0.03485107421875,4.109
351,159,6976,3052,14258,-931,-64,388,-58,-58,-1848,0.9683837890625,0.03765869140625,-0.2435302734375,-0.0355224609375,4.109
352,159,7184,2634,14156,-1060,-50,437,-137,-176,-1808,0.96844482421875,0.03790283203125,-0.2432861328125,-0.0357666015625,4.109
353,159,7470,1992,14345,-1140,-53,486,-137,-176,-1808,0.968505859375,0.03759765625,-0.24322509765625,-0.03570556640625,4.109
354,159,7935,1441,14169,-1244,-96,545,-19,-58,-1848,0.96844482421875,0.03662109375,-0.24359130859375,-0.03570556640625,4.109
355,159,8164,806,14287,-1257,-153,629,-19,-58,-1848,0.9683837890625,0.03515625,-0.24407958984375,-0.03533935546875,4.109
356,159,8485,288,14458,-1210,-148,667,-58,-176,-1808,0.96826171875,0.03387451171875,-0.2447509765625,-0.034423828125,4.109
357,159,8813,-236,14618,-1059,-25,611,-58,-176,-1808,0.96820068359375,0.03240966796875,-0.2454833984375,-0.03350830078125,4.109
358,159,9105,-904,14580,-874,165,451,-19,-98,-1808,0.96807861328125,0.03057861328125,-0.24609375,-0.03277587890625,4.109
359,159,9210,-1099,14505,-584,386,279,-19,-98,-1808,0.968017578125,0.02899169921875,-0.24658203125,-0.03216552734375,4.109
360,159,9043,-939,14350,-410,618,127,-98,-19,-1887,0.968017578125,0.02740478515625,-0.2469482421875,-0.03173828125,4.109
361,159,8719,-549,14124,-298,723,11,-98,-19,-1887,0.968017578125,0.02606201171875,-0.24713134765625,-0.0313720703125,4.109
362,159,8299,-42,14248,-212,744,-66,-19,-58,-1808,0.96807861328125,0.02520751953125,-0.24713134765625,-0.031005859375,4.109
363,159,8059,440,14505,-125,822,-152,-19,-58,-1808,0.96820068359375,0.0247802734375,-0.24676513671875,-0.03076171875,4.109
364,159,7544,1113,14561,-18,886,-205,-58,-137,-1887,0.9683837890625,0.02508544921875,-0.24591064453125,-0.0306396484375,4.109
