ProgrNum,PacketType,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Q0,Q1,Q2,Q3,Vbat
0,159,-1005,-15409,4514,-110,-300,110,-275,1474,-1081,0.3743896484375,-0.31451416015625,-0.5106201171875,0.7071533203125,4.203
1,159,-945,-15691,4583,-88,-242,177,-393,1513,-1042,0.3184814453125,-0.27154541015625,-0.5350341796875,0.7337646484375,4.203
2,159,-817,-15897,4719,-52,-123,293,-393,1513,-1042,0.32440185546875,-0.26995849609375,-0.5338134765625,0.732666015625,4.203
3,159,-762,-16195,4669,35,-75,374,1022,1710,-216,0.79315185546875,-0.59295654296875,0.10015869140625,-0.0958251953125,4.203
4,159,-726,-16345,4928,85,5,412,1022,1710,-216,0.79571533203125,-0.5872802734375,0.10400390625,-0.104736328125,4.203
5,159,-529,-16366,5011,-8,52,395,1022,1671,-176,0.795166015625,-0.5850830078125,0.10650634765625,-0.11834716796875,4.203
6,159,-519,-16481,5119,-20,40,349,1022,1671,-176,0.79595947265625,-0.58319091796875,0.10760498046875,-0.12109375,4.203
7,159,-486,-16541,5095,101,69,206,904,1749,-216,0.7938232421875,-0.58306884765625,0.1134033203125,-0.1302490234375,4.203
92,159,-669,-17158,4898,254,-629,-249,1022,1710,-216,0.79693603515625,-0.580322265625,0.1229248046875,-0.11334228515625,4.203
93,159,-559,-17116,5128,279,-526,-316,1022,1749,-216,0.7969970703125,-0.580322265625,0.122314453125,-0.11346435546875,4.203
94,159,-563,-16773,5137,350,-384,-374,1022,1749,-216,0.79705810546875,-0.58026123046875,0.12176513671875,-0.1136474609375,4.203
95,159,-360,-16372,5145,337,-313,-415,983,1671,-334,0.79730224609375,-0.580078125,0.12109375,-0.1138916015625,4.203
96,159,-475,-16174,5009,219,-249,-394,983,1671,-334,0.7974853515625,-0.5799560546875,0.1204833984375,-0.114013671875,4.203
97,159,-566,-16090,5244,220,-198,-274,983,1710,-255,0.797607421875,-0.57977294921875,0.12005615234375,-0.11419677734375,4.203
194,159,-763,-15415,5066,-9,-533,-19,1022,1671,-216,0.8009033203125,-0.57562255859375,0.1173095703125,-0.1151123046875,4.203
195,159,-833,-15535,5139,0,-508,-32,1022,1631,-294,0.801025390625,-0.5755615234375,0.116943359375,-0.1148681640625,4.203
196,159,-884,-15603,5184,-16,-462,-58,1022,1631,-294,0.8011474609375,-0.57550048828125,0.11663818359375,-0.1146240234375,4.203
197,159,-900,-15584,5200,-9,-517,-53,1022,1789,-255,0.80120849609375,-0.57550048828125,0.1163330078125,-0.114501953125,4.203
198,159,-919,-15736,5101,-47,-557,-78,1022,1789,-255,0.80120849609375,-0.57562255859375,0.11602783203125,-0.11431884765625,4.203
199,159,-988,-15777,4967,-49,-603,-103,1022,1749,-334,0.80126953125,-0.57568359375,0.11566162109375,-0.114013671875,4.203
200,159,-899,-15840,4954,-33,-647,-161,1022,1749,-334,0.80126953125,-0.5758056640625,0.11529541015625,-0.11376953125,4.203
201,159,-728,-15947,4834,-24,-665,-214,983,1749,-255,0.80120849609375,-0.57598876953125,0.11480712890625,-0.1136474609375,4.203
